subscription_id,customer_id,start_date,monthly_fee,status,cancellation_date
113,113,2025-02-10,34.17,cancelled,2025-03-28
114,114,2024-12-01,49.51,active,
115,115,2025-01-04,45.41,active,
116,116,2025-02-19,43.83,active,
117,117,2024-01-28,38.3,active,
118,118,2024-04-12,36.88,active,
119,119,2024-06-28,25.78,active,
120,120,2024-03-24,37.91,active,
121,121,2024-11-17,41.04,cancelled,2025-02-12
122,122,2025-05-03,26.69,active,
123,123,2025-04-23,30.13,active,
124,124,2024-12-10,27.3,active,
125,125,2025-09-17,31.86,cancelled,2025-11-17
126,126,2025-02-17,29.28,cancelled,2025-07-23
127,127,2024-02-27,38.41,active,
128,128,2025-07-13,37.41,active,
129,129,2025-02-24,35.88,cancelled,2025-06-17
130,130,2025-04-08,32.13,active,
131,131,2025-02-17,40.25,active,
132,132,2025-02-08,43.15,active,
133,133,2024-03-07,29.94,active,
134,134,2025-02-12,31.12,active,
135,135,2025-08-04,40.98,active,
136,136,2024-08-10,31.19,active,
137,137,2025-03-16,33.7,active,
138,138,2024-01-23,37.15,cancelled,2024-05-22
139,139,2024-09-11,30.16,active,
140,140,2024-11-15,48.55,active,
141,141,2025-12-19,49.97,active,
142,142,2024-06-05,32.46,cancelled,2024-10-24
143,143,2024-07-21,36.71,active,
144,144,2024-10-25,48.09,active,
145,145,2025-12-26,33.77,active,
146,146,2025-09-15,50.83,active,
147,147,2024-01-26,46.73,active,
148,148,2024-06-20,31.54,cancelled,2024-09-21
149,149,2025-08-23,33.79,active,
150,150,2024-02-12,29.3,active,
151,151,2025-09-17,46.37,active,
152,152,2024-07-24,34.89,active,
153,153,2025-11-01,42.19,active,
154,154,2024-08-02,42.75,active,
155,155,2024-11-13,46.56,active,
156,156,2025-04-28,46.88,active,
157,157,2024-04-02,28.92,active,
158,158,2025-02-11,35.36,active,
159,159,2025-01-04,41.91,active,
160,160,2025-07-27,43.62,active,
161,161,2025-12-29,42.74,active,
162,162,2025-04-30,37.7,active,
163,163,2024-10-26,45.48,active,
164,164,2024-10-24,36.75,cancelled,2024-12-25
165,165,2024-11-01,27.46,active,
166,166,2025-08-18,49.16,active,
167,167,2024-08-22,41.24,active,
168,168,2024-05-02,46.72,active,
169,169,2024-09-01,33.06,active,
170,170,2024-01-17,43.65,active,
171,171,2024-03-18,34.24,cancelled,2025-03-11
172,172,2024-03-06,38.14,active,
173,173,2025-07-18,29.21,active,
174,174,2025-06-12,42.98,active,
175,175,2025-05-24,33.21,active,
176,176,2024-12-03,32.76,active,
177,177,2025-06-08,35.52,active,
178,178,2024-04-27,36.72,active,
179,179,2025-10-20,39.62,active,
180,180,2025-01-01,41.2,active,
181,181,2025-11-16,43.24,active,
182,182,2024-04-21,36.2,active,
183,183,2024-12-29,38.34,active,
184,184,2025-05-24,28.87,active,
185,185,2024-12-28,39.09,active,
186,186,2024-11-22,45.73,active,
187,187,2024-05-01,35.08,cancelled,2024-09-19
188,188,2024-10-05,48.0,active,
189,189,2024-06-23,31.49,active,
190,190,2024-08-08,44.99,active,
191,191,2025-05-14,46.01,active,
192,192,2025-04-05,40.64,active,
193,193,2025-03-19,40.51,active,
194,194,2024-09-21,27.95,cancelled,2025-01-20
195,195,2025-12-02,45.77,active,
196,196,2024-03-05,34.81,active,
197,197,2024-09-07,40.94,active,
198,198,2024-03-27,27.82,cancelled,2024-06-03
199,199,2024-09-04,33.42,cancelled,2024-10-22
200,200,2025-12-04,45.86,active,
201,201,2024-09-24,35.78,active,
202,202,2025-10-26,34.16,active,
203,203,2024-12-27,28.8,active,
204,204,2025-05-26,41.82,active,
205,205,2024-11-30,44.58,active,
206,206,2024-07-13,51.46,active,
207,207,2025-07-12,42.39,active,
208,208,2025-12-09,32.62,active,
209,209,2024-07-11,30.08,cancelled,2025-08-15
210,210,2025-07-23,34.19,cancelled,2025-10-03
211,211,2024-07-09,41.44,active,
212,212,2025-06-08,50.66,active,
213,213,2025-07-30,26.09,active,
214,214,2024-11-24,35.26,active,
215,215,2025-06-22,41.45,cancelled,2025-08-20
216,216,2024-07-18,42.77,active,
217,217,2024-02-27,40.73,active,
218,218,2024-03-11,35.58,active,
219,219,2024-11-22,33.81,active,
220,220,2025-10-21,37.33,cancelled,2025-11-21
221,221,2024-04-03,40.01,active,
222,222,2024-11-29,40.94,active,
223,223,2025-05-29,31.33,active,
224,224,2024-05-27,37.29,active,
225,225,2025-06-11,48.74,active,
226,226,2024-08-11,42.38,cancelled,2024-10-02
227,227,2025-08-14,32.12,cancelled,2025-09-16
228,228,2025-02-27,48.02,active,
229,229,2025-02-03,31.84,active,
230,230,2024-05-09,44.44,active,
231,231,2024-12-04,28.85,active,
232,232,2025-09-18,46.02,cancelled,2025-10-26
233,233,2024-01-15,32.19,active,
234,234,2025-07-08,37.55,cancelled,2025-10-02
235,235,2024-12-26,48.11,active,
236,236,2025-06-09,40.03,active,
237,237,2025-04-29,34.18,active,
238,238,2024-11-11,27.06,active,
239,239,2024-08-13,31.99,active,
240,240,2025-04-03,30.72,active,
241,241,2024-04-12,36.51,active,
242,242,2025-03-02,40.02,active,
243,243,2024-03-10,48.91,active,
244,244,2025-04-20,44.75,active,
245,245,2025-04-04,48.2,active,
246,246,2024-03-02,38.56,active,
247,247,2025-07-07,35.62,active,
248,248,2024-10-30,39.2,active,
249,249,2025-07-29,36.48,active,
250,250,2024-01-31,30.04,active,
251,251,2024-05-11,45.79,active,
252,252,2024-12-27,45.15,active,
253,253,2024-05-17,30.06,cancelled,2025-02-08
254,254,2024-08-29,33.5,active,
255,255,2025-04-27,32.96,active,
256,256,2024-04-15,37.19,active,
257,257,2025-05-10,36.87,active,
258,258,2024-03-16,49.66,active,
259,259,2024-05-08,39.11,cancelled,2024-08-01
260,260,2025-03-05,36.45,active,
261,261,2025-08-03,47.55,active,
262,262,2024-05-04,48.36,active,
263,263,2024-08-07,43.75,active,
264,264,2025-11-07,40.13,active,
265,265,2025-12-24,32.03,active,
266,266,2025-02-28,43.19,active,
267,267,2024-11-22,46.83,active,
268,268,2024-09-10,53.64,active,
269,269,2025-03-23,36.03,active,
270,270,2025-03-07,39.9,cancelled,2025-05-04
271,271,2024-08-03,35.49,active,
272,272,2024-01-17,30.46,active,
273,273,2024-04-20,35.44,active,
274,274,2025-12-01,27.05,active,
275,275,2024-11-01,40.0,active,
276,276,2024-12-18,33.66,active,
277,277,2024-12-07,42.69,active,
278,278,2025-07-26,40.29,active,
279,279,2024-02-17,30.78,cancelled,2024-05-04
280,280,2024-03-01,41.04,active,
281,281,2024-07-20,29.24,active,
282,282,2024-12-21,28.05,active,
283,283,2025-05-05,50.14,active,
284,284,2024-12-24,26.39,active,
285,285,2024-11-18,33.78,active,
286,286,2025-11-16,42.29,active,
287,287,2024-04-27,34.47,active,
288,288,2025-02-21,34.77,active,
289,289,2025-01-31,40.74,cancelled,2025-04-18
290,290,2024-12-12,41.52,active,
291,291,2025-08-13,37.3,active,
292,292,2024-07-14,47.6,active,
293,293,2025-11-28,30.73,active,
294,294,2024-08-30,37.59,active,
295,295,2025-02-02,31.7,cancelled,2025-03-22
296,296,2025-01-15,27.34,cancelled,2025-04-16
297,297,2025-09-13,48.5,active,
298,298,2024-11-16,41.16,active,
299,299,2024-07-27,33.15,active,
300,300,2024-01-16,36.65,cancelled,2024-03-29
301,301,2024-09-22,34.42,active,
302,302,2025-08-27,44.81,active,
303,303,2024-01-08,36.72,active,
304,304,2025-10-17,50.1,active,
305,305,2025-01-31,31.07,cancelled,2025-07-24
306,306,2024-04-12,32.46,active,
307,307,2024-08-08,49.96,active,
308,308,2025-02-09,46.77,active,
309,309,2024-08-18,33.72,cancelled,2025-05-18
310,310,2024-03-20,39.18,cancelled,2024-06-17
311,311,2025-05-01,49.69,active,
312,312,2025-05-06,41.87,cancelled,2025-06-18
313,313,2024-03-27,40.78,active,
314,314,2024-07-24,41.84,active,
315,315,2024-06-27,48.41,active,
316,316,2025-04-27,40.54,cancelled,2025-05-27
317,317,2025-06-17,27.79,active,
318,318,2025-06-15,34.66,active,
319,319,2025-11-17,44.7,active,
320,320,2025-07-15,38.56,active,
321,321,2024-08-22,33.89,active,
322,322,2024-03-19,40.24,active,
323,323,2025-03-25,39.01,active,
324,324,2025-10-31,49.83,active,
325,325,2025-12-13,34.04,active,
326,326,2024-06-17,44.07,active,
327,327,2024-06-21,39.58,active,
328,328,2024-01-28,28.1,active,
329,329,2024-04-13,39.05,active,
330,330,2025-02-09,28.65,cancelled,2025-05-06
331,331,2025-02-03,45.26,active,
332,332,2024-09-28,44.07,active,
333,333,2024-08-14,27.52,cancelled,2024-10-15
334,334,2025-08-29,36.85,cancelled,2025-09-28
335,335,2024-12-02,49.0,cancelled,2025-03-20
336,336,2025-08-13,35.21,cancelled,2025-10-19
337,337,2025-12-05,49.78,active,
338,338,2024-08-19,30.24,cancelled,2024-12-09
339,339,2024-05-28,26.66,active,
340,340,2025-11-27,37.41,active,
341,341,2025-04-09,29.36,cancelled,2025-06-19
342,342,2024-07-31,50.76,active,
343,343,2025-03-30,44.16,active,
344,344,2025-01-11,39.77,active,
345,345,2025-10-23,45.07,active,
346,346,2024-07-06,44.0,active,
347,347,2025-12-25,42.71,active,
348,348,2025-11-15,42.85,active,
349,349,2024-05-12,46.24,active,
350,350,2024-04-30,39.48,active,
351,351,2025-01-24,33.74,cancelled,2025-05-06
352,352,2024-02-02,35.47,active,
353,353,2024-08-06,35.39,cancelled,2024-12-19
354,354,2024-11-14,32.83,active,
355,355,2025-12-09,39.34,active,
356,356,2025-12-26,36.6,active,
357,357,2024-04-20,30.83,active,
358,358,2025-10-13,48.56,active,
359,359,2024-03-07,44.03,active,
360,360,2025-07-01,35.43,active,
361,361,2025-09-10,49.74,active,
362,362,2025-10-13,53.21,active,
363,363,2024-06-12,47.73,cancelled,2024-09-14
364,364,2025-10-15,28.61,active,
365,365,2024-03-25,36.31,active,
366,366,2025-01-14,37.63,active,
367,367,2024-12-09,44.34,active,
368,368,2024-08-18,43.05,cancelled,2024-10-26
369,369,2024-01-17,42.37,active,
370,370,2025-07-18,43.43,cancelled,2025-09-12
371,371,2024-09-02,50.75,active,
372,372,2025-04-28,38.96,active,
373,373,2024-10-26,48.59,active,
374,374,2024-09-30,48.18,active,
375,375,2025-10-09,31.21,active,
376,376,2024-03-10,48.03,cancelled,2024-09-16
377,377,2025-06-22,27.06,cancelled,2025-08-06
378,378,2025-06-29,30.93,active,
379,379,2024-10-04,49.42,active,
380,380,2024-07-10,35.63,active,
381,381,2024-01-04,37.33,active,
382,382,2025-11-15,50.72,active,
383,383,2025-11-23,36.0,active,
384,384,2024-06-25,31.21,active,
385,385,2024-01-24,29.43,active,
386,386,2024-03-30,42.48,active,
387,387,2024-02-19,32.74,active,
388,388,2025-08-30,28.14,active,
389,389,2025-10-13,44.24,active,
390,390,2024-04-22,33.26,active,
391,391,2025-06-29,37.66,active,
392,392,2024-05-11,27.73,active,
393,393,2024-09-25,40.11,cancelled,2025-02-09
394,394,2025-03-14,43.8,active,
395,395,2025-06-10,36.6,active,
396,396,2025-10-01,33.44,cancelled,2025-11-30
397,397,2024-02-02,32.06,active,
398,398,2024-05-23,28.91,cancelled,2025-04-13
399,399,2024-07-24,28.4,active,
400,400,2024-08-14,39.86,active,
401,401,2025-12-30,29.56,active,
402,402,2025-07-22,30.85,active,
403,403,2024-08-22,30.26,active,
404,404,2025-12-11,45.62,active,
405,405,2024-12-30,37.04,cancelled,2025-03-06
406,406,2025-01-01,41.0,active,
407,407,2024-11-13,39.63,active,
408,408,2024-04-15,34.5,active,
409,409,2025-11-14,31.82,active,
410,410,2024-01-11,35.76,cancelled,2024-12-31
411,411,2024-05-07,39.89,cancelled,2025-07-23
412,412,2024-06-16,37.08,active,
413,413,2024-07-23,27.76,active,
414,414,2024-04-06,46.32,active,
415,415,2024-01-14,44.32,active,
416,416,2025-05-10,28.13,active,
417,417,2025-12-09,47.01,active,
418,418,2024-03-30,34.12,active,
419,419,2024-08-04,31.08,active,
420,420,2025-01-05,29.15,active,
421,421,2025-11-09,47.43,active,
422,422,2025-05-22,32.26,active,
423,423,2025-07-14,43.98,active,
424,424,2025-02-28,41.99,active,
425,425,2024-10-31,36.48,active,
426,426,2024-05-26,36.99,active,
427,427,2025-09-23,29.03,active,
428,428,2025-08-10,41.72,active,
429,429,2024-01-19,35.69,active,
430,430,2025-06-06,40.36,cancelled,2025-08-11
431,431,2024-03-02,29.32,active,
432,432,2025-06-24,45.11,active,
433,433,2025-08-26,44.62,active,
434,434,2024-04-05,36.87,active,
435,435,2024-11-13,35.91,active,
436,436,2024-03-31,35.02,active,
437,437,2025-02-18,33.66,active,
438,438,2025-11-09,27.38,active,
439,439,2024-02-29,42.9,active,
440,440,2024-10-17,26.38,active,
441,441,2025-12-12,27.49,active,
442,442,2024-08-07,28.26,active,
443,443,2024-04-06,31.96,cancelled,2024-10-06
444,444,2024-12-23,40.48,active,
445,445,2025-01-06,42.52,cancelled,2025-02-17
446,446,2025-04-29,39.88,cancelled,2025-07-02
447,447,2024-08-17,33.22,active,
448,448,2025-11-29,37.83,active,
449,449,2025-01-15,40.26,active,
450,450,2024-07-28,46.8,active,
451,451,2025-12-02,44.58,active,
452,452,2025-11-07,44.43,active,
453,453,2024-12-30,44.13,active,
454,454,2024-01-19,47.91,active,
455,455,2025-03-12,35.79,active,
456,456,2025-02-09,41.14,cancelled,2025-03-12
457,457,2024-04-18,45.71,active,
458,458,2025-04-08,33.0,active,
459,459,2025-09-06,35.64,cancelled,2025-10-29
460,460,2024-03-18,49.61,active,
461,461,2025-06-12,40.74,active,
462,462,2024-04-12,28.25,cancelled,2024-11-25
463,463,2025-07-01,35.34,active,
464,464,2024-11-02,29.1,active,
465,465,2024-01-05,36.97,active,
466,466,2025-12-07,39.01,active,
467,467,2024-05-01,38.41,active,
468,468,2025-03-11,36.54,active,
469,469,2024-05-12,26.43,active,
470,470,2025-11-13,38.86,active,
471,471,2025-06-23,27.03,cancelled,2025-09-09
472,472,2025-08-10,37.74,active,
473,473,2024-11-11,40.15,active,
474,474,2024-12-07,29.18,active,
475,475,2025-04-08,46.15,active,
476,476,2025-07-27,40.17,active,
477,477,2025-09-11,31.59,active,
478,478,2024-01-14,33.56,active,
479,479,2025-04-30,28.84,active,
480,480,2024-03-20,25.71,active,
481,481,2024-07-29,48.56,cancelled,2024-09-28
482,482,2025-08-29,40.93,active,
483,483,2024-07-02,45.07,cancelled,2025-04-12
484,484,2025-08-05,40.1,cancelled,2025-09-18
485,485,2024-12-04,49.71,cancelled,2025-02-12
486,486,2024-06-19,48.64,active,
487,487,2024-09-01,25.68,active,
488,488,2025-01-22,29.68,active,
489,489,2025-07-13,35.46,cancelled,2025-08-31
490,490,2025-03-18,34.49,active,
491,491,2025-11-13,37.53,active,
492,492,2025-09-26,32.23,active,
493,493,2025-07-04,48.34,active,
494,494,2025-03-16,25.77,active,
495,495,2024-07-30,46.32,active,
496,496,2024-10-28,35.87,active,
497,497,2024-03-27,29.22,active,
498,498,2024-09-30,46.7,active,
499,499,2025-11-08,38.97,active,
500,500,2024-11-07,45.82,active,
501,501,2024-03-24,45.19,active,
502,502,2025-04-21,27.4,active,
503,503,2025-12-04,31.86,active,
504,504,2025-09-26,31.48,active,
505,505,2024-07-19,29.97,active,
506,506,2024-11-27,49.56,active,
507,507,2025-01-23,43.86,active,
508,508,2024-06-30,35.22,active,
509,509,2024-07-15,40.22,active,
510,510,2024-06-22,47.39,active,
511,511,2025-12-28,31.0,active,
512,512,2025-06-29,25.78,active,
513,513,2025-09-06,43.81,active,
514,514,2025-08-19,44.49,active,
515,515,2025-12-02,32.42,active,
516,516,2024-03-17,40.27,active,
517,517,2025-10-06,29.44,active,
518,518,2024-02-18,43.04,active,
519,519,2024-12-13,43.2,active,
520,520,2025-03-10,31.71,active,
521,521,2024-09-18,45.48,active,
522,522,2024-04-16,38.56,active,
523,523,2024-05-20,44.7,active,
524,524,2025-08-25,42.26,active,
525,525,2024-08-20,36.64,active,
526,526,2024-08-14,33.26,active,
527,527,2025-11-05,32.47,active,
528,528,2024-04-15,45.55,active,
529,529,2025-10-31,41.09,active,
530,530,2025-11-04,31.51,active,
531,531,2025-03-13,48.36,active,
532,532,2024-05-01,46.82,active,
533,533,2024-04-23,27.48,active,
534,534,2024-07-27,30.43,active,
535,535,2025-02-26,40.36,active,
536,536,2024-04-22,26.97,active,
537,537,2024-11-29,50.0,active,
538,538,2024-03-25,41.8,active,
539,539,2025-01-29,29.52,active,
540,540,2024-01-16,35.02,active,
541,541,2025-06-02,33.19,active,
542,542,2024-02-10,38.21,active,
543,543,2024-05-22,31.18,active,
544,544,2024-05-07,44.23,active,
545,545,2025-08-30,42.57,active,
546,546,2024-02-09,48.8,active,
547,547,2024-11-09,28.39,active,
548,548,2025-03-08,34.38,active,
549,549,2025-01-12,46.95,cancelled,2025-07-22
550,550,2025-05-12,35.08,active,
551,551,2025-08-10,34.87,active,
552,552,2024-10-14,51.26,active,
553,553,2025-08-28,43.07,cancelled,2025-10-04
554,554,2024-08-20,45.88,active,
555,555,2025-12-20,36.45,active,
556,556,2025-01-03,38.25,cancelled,2025-02-21
557,557,2025-06-22,35.73,active,
558,558,2025-10-01,36.9,active,
559,559,2025-08-02,27.19,active,
560,560,2025-09-14,44.12,active,
561,561,2025-01-27,33.78,active,
562,562,2024-02-01,41.05,active,
563,563,2024-12-26,46.26,active,
564,564,2024-05-12,45.41,active,
565,565,2025-10-11,30.8,active,
566,566,2024-06-22,45.79,cancelled,2024-07-24
567,567,2024-06-15,37.93,active,
568,568,2024-07-01,30.91,active,
569,569,2025-04-14,26.41,active,
570,570,2025-02-21,40.56,active,
571,571,2025-11-24,46.81,active,
572,572,2024-10-31,48.19,cancelled,2025-01-07
573,573,2024-07-25,36.41,cancelled,2024-10-18
574,574,2024-02-06,35.75,active,
575,575,2024-01-06,29.0,active,
576,576,2024-09-30,52.78,active,
577,577,2025-11-07,45.3,active,
578,578,2025-01-17,50.92,active,
579,579,2025-10-15,37.8,active,
580,580,2024-03-15,31.89,active,
581,581,2024-03-09,39.54,active,
582,582,2025-09-01,34.5,cancelled,2025-10-25
583,583,2024-03-19,33.47,active,
584,584,2024-02-07,25.6,cancelled,2024-07-16
585,585,2024-10-22,27.98,active,
586,586,2025-11-07,36.37,active,
587,587,2025-05-18,49.5,active,
588,588,2024-03-13,45.14,active,
589,589,2025-09-03,45.71,active,
590,590,2025-09-08,32.52,active,
591,591,2025-08-08,46.23,cancelled,2025-09-26
592,592,2025-10-21,39.74,active,
593,593,2024-06-24,27.65,cancelled,2024-08-04
594,594,2025-12-17,36.56,active,
595,595,2024-08-22,29.23,active,
596,596,2025-08-09,46.03,cancelled,2025-09-11
597,597,2025-02-27,49.15,active,
598,598,2025-07-23,33.2,active,
599,599,2025-04-03,40.08,active,
600,600,2025-04-14,34.25,active,
601,601,2025-03-26,31.62,active,
602,602,2025-07-23,44.97,cancelled,2025-08-23
603,603,2025-06-24,45.04,active,
604,604,2024-04-08,47.48,cancelled,2024-07-31
605,605,2025-08-26,26.58,active,
606,606,2025-01-26,40.73,active,
607,607,2024-08-24,24.97,active,
608,608,2025-01-10,27.4,active,
609,609,2025-12-07,27.59,active,
610,610,2025-09-18,30.65,cancelled,2025-10-26
611,611,2025-09-01,37.28,active,
612,612,2024-12-04,35.24,active,
613,613,2025-07-27,43.95,active,
614,614,2024-10-08,33.77,active,
615,615,2025-05-16,30.57,active,
616,616,2025-04-12,48.9,active,
617,617,2024-07-01,43.93,active,
618,618,2024-07-13,29.74,active,
619,619,2024-02-14,35.59,active,
620,620,2024-04-12,33.51,active,
621,621,2024-11-12,51.52,active,
622,622,2024-12-15,32.38,cancelled,2025-06-11
623,623,2024-04-30,27.68,active,
624,624,2024-10-31,45.16,cancelled,2025-01-17
625,625,2025-03-17,43.04,active,
626,626,2024-06-19,31.39,active,
627,627,2024-09-04,33.25,active,
628,628,2024-09-25,34.08,active,
629,629,2025-01-04,30.33,active,
630,630,2024-09-24,34.0,cancelled,2024-12-15
631,631,2025-06-22,44.13,cancelled,2025-09-02
632,632,2024-08-27,42.43,cancelled,2025-02-16
633,633,2024-11-13,43.87,active,
634,634,2024-10-04,40.75,active,
635,635,2024-05-13,42.08,active,
636,636,2025-05-16,34.47,active,
637,637,2024-06-21,40.92,cancelled,2024-11-12
638,638,2024-08-05,28.3,active,
639,639,2025-08-02,28.8,active,
640,640,2025-11-24,28.57,active,
641,641,2025-05-05,46.66,active,
642,642,2025-10-31,40.36,active,
643,643,2025-09-16,36.76,active,
644,644,2024-12-17,39.68,active,
645,645,2025-07-17,45.27,active,
646,646,2024-08-28,28.25,active,
647,647,2024-12-02,34.76,cancelled,2025-02-17
648,648,2025-01-26,46.26,active,
649,649,2025-12-03,40.08,active,
650,650,2025-09-12,38.94,active,
651,651,2024-12-23,31.07,active,
652,652,2025-04-22,50.54,cancelled,2025-07-20
653,653,2024-05-27,32.63,active,
654,654,2025-08-11,47.21,active,
655,655,2025-02-08,45.4,cancelled,2025-06-09
656,656,2025-01-24,46.81,active,
657,657,2025-07-14,25.19,active,
658,658,2025-04-07,41.86,active,
659,659,2024-02-22,35.35,cancelled,2024-06-23
660,660,2024-07-29,33.5,active,
661,661,2024-05-09,34.14,active,
662,662,2025-06-21,34.27,active,
663,663,2024-01-26,34.76,active,
664,664,2024-05-27,43.61,active,
665,665,2025-03-12,34.21,active,
666,666,2025-05-22,29.29,active,
667,667,2025-01-02,33.46,cancelled,2025-02-03
668,668,2025-09-21,43.7,active,
669,669,2025-11-02,26.98,cancelled,2025-12-08
670,670,2024-04-06,45.07,cancelled,2024-06-19
671,671,2025-11-27,35.18,active,
672,672,2025-03-25,41.54,cancelled,2025-06-23
673,673,2025-04-10,43.42,active,
674,674,2024-03-10,37.61,active,
675,675,2025-03-30,42.08,active,
676,676,2025-06-14,46.4,active,
677,677,2025-02-28,25.88,cancelled,2025-04-17
678,678,2024-03-02,32.01,active,
679,679,2025-01-17,48.62,active,
680,680,2025-11-15,48.73,active,
681,681,2025-06-12,42.27,active,
682,682,2024-04-10,32.02,active,
683,683,2025-12-02,34.23,active,
684,684,2025-12-01,48.4,active,
685,685,2024-05-03,43.74,active,
686,686,2025-08-08,31.93,active,
687,687,2024-10-24,31.27,cancelled,2025-01-09
688,688,2025-03-09,46.65,active,
689,689,2024-11-21,38.89,cancelled,2025-02-01
690,690,2025-07-26,50.35,active,
691,691,2025-12-29,33.53,active,
692,692,2025-08-04,32.1,active,
693,693,2025-11-11,34.51,active,
694,694,2025-11-22,38.72,active,
695,695,2024-03-06,34.68,cancelled,2024-04-10
696,696,2024-07-04,26.73,active,
697,697,2025-06-11,32.98,cancelled,2025-07-21
698,698,2025-03-07,32.52,active,
699,699,2024-02-06,46.19,active,
700,700,2024-03-10,31.56,cancelled,2025-02-09
701,701,2025-01-15,39.5,active,
702,702,2025-03-26,44.26,active,
703,703,2024-05-02,30.45,active,
704,704,2024-05-05,36.74,active,
705,705,2024-04-04,47.39,active,
706,706,2025-02-16,39.63,cancelled,2025-05-06
707,707,2024-01-06,39.28,active,
708,708,2025-02-22,47.69,active,
709,709,2024-12-13,47.25,active,
710,710,2024-12-06,41.52,active,
711,711,2025-05-11,35.94,active,
712,712,2025-01-17,40.39,active,
713,713,2025-06-15,36.67,active,
714,714,2025-07-12,31.07,active,
