customer_id,region,age_group,acquisition_channel,contract_length_months,install_delay_days,tickets_60d,avg_resolution_time_hours_60d,has_upsell,monthly_fee,is_churned
61,Galicia,25-34,Web,24,7,0,NULL,0,43.11,0
62,Barcelona,25-34,In-store,36,1,0,NULL,0,40.28,0
63,Madrid,45-54,In-store,36,11,0,NULL,0,39.29,1
64,Valencia,55+,Partner,24,4,1,15.7,1,29.79,0
65,Barcelona,25-34,Partner,24,3,0,NULL,0,43.2,1
66,Galicia,25-34,Web,24,8,0,NULL,0,25.05,1
67,Madrid,35-44,Web,24,5,0,NULL,0,36.6,0
68,Andalucía,25-34,Phone,24,3,0,NULL,1,28.27,0
69,Galicia,55+,Web,36,8,0,NULL,1,46.97,0
70,Canarias,35-44,Partner,36,4,0,NULL,0,35.52,1
71,Andalucía,45-54,Phone,24,3,0,NULL,0,38.43,0
72,Canarias,55+,Web,24,3,0,NULL,0,35.24,0
73,Madrid,45-54,Phone,36,5,0,NULL,0,30.49,0
74,Barcelona,25-34,In-store,36,3,0,NULL,0,35.2,0
75,Madrid,35-44,Phone,24,4,0,NULL,0,46.66,0
76,Canarias,35-44,Phone,24,9,0,NULL,0,39.76,0
77,Galicia,35-44,In-store,36,4,0,NULL,0,33.1,0
78,Madrid,55+,Web,36,8,0,NULL,0,45.56,1
79,Madrid,25-34,Partner,24,4,0,NULL,0,29.95,0
80,Barcelona,35-44,Phone,36,7,0,NULL,1,49.79,0
81,Barcelona,25-34,Web,24,6,0,NULL,1,28.79,0
82,Galicia,25-34,Referral,36,7,0,NULL,0,45.09,0
83,Madrid,35-44,Phone,24,8,0,NULL,0,49.42,0
84,País Vasco,45-54,Web,24,4,0,NULL,0,46.19,1
85,Andalucía,45-54,Web,24,5,0,NULL,0,25.62,0
86,Barcelona,25-34,Referral,24,4,0,NULL,0,40.05,0
87,Madrid,18-24,In-store,24,4,0,NULL,0,49.25,0
88,Canarias,35-44,Web,24,3,0,NULL,0,39.98,0
89,Andalucía,35-44,Phone,24,8,0,NULL,0,36.23,0
90,Valencia,45-54,Web,24,2,0,NULL,0,36.68,0
91,Barcelona,45-54,Partner,36,4,0,NULL,0,33.08,1
92,Galicia,55+,Phone,36,6,0,NULL,1,34.38,0
93,Galicia,45-54,Web,36,3,0,NULL,0,23.66,0
94,País Vasco,35-44,Phone,24,3,0,NULL,0,42.74,0
95,Andalucía,45-54,Referral,24,3,0,NULL,0,34.32,0
96,Galicia,45-54,Web,36,2,0,NULL,0,28.47,0
97,Barcelona,55+,Web,24,4,0,NULL,1,26.24,0
98,Andalucía,35-44,Referral,24,5,0,NULL,0,49.6,0
99,Valencia,45-54,Web,36,7,0,NULL,1,38.66,0
100,Andalucía,35-44,Phone,36,2,0,NULL,0,39.85,0
101,Canarias,45-54,Phone,24,4,0,NULL,1,46.91,0
102,Canarias,55+,Web,36,6,0,NULL,0,41.58,0
103,Valencia,55+,Web,24,2,0,NULL,0,37.04,0
104,Andalucía,25-34,Web,36,7,0,NULL,0,40.32,1
105,Galicia,25-34,Web,24,3,0,NULL,0,28.56,0
106,Canarias,45-54,Phone,24,5,0,NULL,0,39.54,0
107,País Vasco,45-54,In-store,24,4,0,NULL,0,30.02,1
108,Madrid,55+,Web,24,5,0,NULL,0,50.13,0
109,Barcelona,25-34,Partner,36,7,0,NULL,0,41.22,0
110,Galicia,55+,Phone,24,4,0,NULL,0,31.54,0
111,País Vasco,45-54,Web,36,6,0,NULL,0,41.78,0
112,País Vasco,25-34,Phone,36,9,0,NULL,0,29.56,0
113,Andalucía,25-34,Web,24,2,0,NULL,1,34.17,1
114,Valencia,45-54,Partner,36,4,0,NULL,0,49.51,0
115,Valencia,25-34,Web,24,4,0,NULL,1,45.41,0
116,País Vasco,45-54,Partner,24,5,0,NULL,0,43.83,0
117,Barcelona,35-44,Referral,24,5,0,NULL,0,38.3,0
118,Andalucía,35-44,Web,36,5,0,NULL,0,36.88,0
119,País Vasco,25-34,Referral,36,6,0,NULL,1,25.78,0
120,Galicia,55+,Web,36,7,0,NULL,0,37.91,0
121,Barcelona,45-54,Web,36,6,0,NULL,0,41.04,1
122,País Vasco,45-54,Web,36,3,0,NULL,0,26.69,0
123,Madrid,45-54,In-store,24,3,0,NULL,1,30.13,0
124,Madrid,35-44,Partner,36,6,0,NULL,0,27.3,0
125,Valencia,55+,Referral,24,5,0,NULL,0,31.86,1
126,Madrid,35-44,Partner,24,4,0,NULL,0,29.28,1
127,Canarias,35-44,Phone,24,4,0,NULL,0,38.41,0
128,Galicia,25-34,In-store,24,3,0,NULL,0,37.41,0
129,Madrid,25-34,Referral,24,12,0,NULL,0,35.88,1
130,Galicia,45-54,In-store,24,2,0,NULL,0,32.13,0
131,Valencia,25-34,Phone,24,0,0,NULL,0,40.25,0
132,Andalucía,45-54,In-store,24,5,0,NULL,0,43.15,0
133,Galicia,55+,Web,36,3,0,NULL,1,29.94,0
134,Andalucía,35-44,Referral,36,5,0,NULL,0,31.12,0
135,Madrid,25-34,Referral,24,7,0,NULL,0,40.98,0
136,Madrid,45-54,Partner,24,2,0,NULL,0,31.19,0
137,Valencia,18-24,Web,24,1,0,NULL,0,33.7,0
138,Canarias,45-54,Web,24,3,0,NULL,0,37.15,1
139,Andalucía,35-44,Referral,36,3,0,NULL,0,30.16,0
140,Barcelona,35-44,In-store,24,4,0,NULL,0,48.55,0
141,Madrid,35-44,In-store,36,5,0,NULL,0,49.97,0
142,Galicia,35-44,Referral,36,7,0,NULL,0,32.46,1
143,Barcelona,25-34,Phone,24,4,0,NULL,0,36.71,0
144,Andalucía,25-34,In-store,36,6,0,NULL,0,48.09,0
145,Andalucía,35-44,Web,24,5,3,24.9,1,33.77,0
146,Barcelona,55+,Web,36,4,0,NULL,0,50.83,0
147,Madrid,25-34,Phone,36,7,0,NULL,0,46.73,0
148,Barcelona,25-34,Web,36,1,0,NULL,0,31.54,1
149,Barcelona,25-34,Phone,36,6,0,NULL,0,33.79,0
150,Andalucía,35-44,In-store,36,4,0,NULL,0,29.3,0
151,País Vasco,25-34,Web,36,2,0,NULL,0,46.37,0
152,Barcelona,45-54,Partner,24,3,0,NULL,0,34.89,0
153,Andalucía,25-34,Web,36,6,0,NULL,0,42.19,0
154,Madrid,45-54,In-store,36,2,0,NULL,0,42.75,0
155,Barcelona,25-34,Web,24,5,0,NULL,1,46.56,0
156,País Vasco,35-44,Partner,36,6,0,NULL,0,46.88,0
157,País Vasco,25-34,Phone,24,4,0,NULL,0,28.92,0
158,País Vasco,45-54,Phone,24,2,0,NULL,0,35.36,0
159,Madrid,55+,Web,24,4,0,NULL,1,41.91,0
160,Andalucía,25-34,Web,24,8,0,NULL,0,43.62,0
161,Valencia,55+,Web,36,3,0,NULL,0,42.74,0
162,Canarias,25-34,Web,24,2,0,NULL,0,37.7,0
163,Andalucía,35-44,Web,24,4,0,NULL,0,45.48,0
164,Canarias,45-54,Partner,24,1,0,NULL,0,36.75,1
165,Madrid,25-34,Web,24,4,0,NULL,0,27.46,0
166,Valencia,35-44,Web,36,6,0,NULL,0,49.16,0
167,País Vasco,18-24,Web,36,6,0,NULL,0,41.24,0
168,Barcelona,45-54,Phone,24,2,0,NULL,0,46.72,0
169,Andalucía,35-44,Phone,24,3,0,NULL,0,33.06,0
170,Valencia,55+,Partner,24,6,0,NULL,0,43.65,0
171,Canarias,25-34,Phone,24,5,0,NULL,0,34.24,1
172,Madrid,55+,Phone,24,3,0,NULL,0,38.14,0
173,Canarias,25-34,Phone,24,4,0,NULL,0,29.21,0
174,Valencia,35-44,Web,24,4,0,NULL,0,42.98,0
175,Valencia,25-34,Partner,24,0,0,NULL,0,33.21,0
176,Andalucía,25-34,Web,24,6,0,NULL,0,32.76,0
177,Barcelona,25-34,In-store,24,6,0,NULL,0,35.52,0
178,Canarias,45-54,Phone,36,3,0,NULL,0,36.72,0
179,Galicia,25-34,Partner,36,1,0,NULL,1,39.62,0
180,Canarias,35-44,Phone,24,7,0,NULL,0,41.2,0
181,Canarias,55+,Referral,36,4,0,NULL,0,43.24,0
182,Andalucía,25-34,Phone,36,5,0,NULL,0,36.2,0
183,Valencia,18-24,Phone,24,1,0,NULL,0,38.34,0
184,Galicia,25-34,In-store,24,2,0,NULL,0,28.87,0
185,Madrid,25-34,Partner,24,5,0,NULL,0,39.09,0
186,Galicia,35-44,Phone,36,6,0,NULL,0,45.73,0
187,Valencia,45-54,Web,24,2,0,NULL,0,35.08,1
188,Andalucía,25-34,Web,36,4,0,NULL,0,48.0,0
189,Barcelona,25-34,In-store,24,2,0,NULL,0,31.49,0
190,Barcelona,45-54,Web,24,3,0,NULL,0,44.99,0
191,Madrid,25-34,Web,36,4,0,NULL,1,46.01,0
192,Valencia,35-44,Web,24,5,0,NULL,0,40.64,0
193,Valencia,55+,Referral,36,0,0,NULL,0,40.51,0
194,Barcelona,25-34,Phone,36,7,0,NULL,0,27.95,1
195,Barcelona,35-44,Phone,36,4,0,NULL,0,45.77,0
196,Andalucía,45-54,Referral,24,7,0,NULL,0,34.81,0
197,Barcelona,45-54,Web,36,5,0,NULL,0,40.94,0
198,Galicia,45-54,In-store,24,6,0,NULL,0,27.82,1
199,Madrid,45-54,Partner,24,8,0,NULL,1,33.42,1
200,Andalucía,35-44,Phone,36,2,0,NULL,0,45.86,0
201,Madrid,35-44,In-store,36,24,0,NULL,0,35.78,0
202,Andalucía,45-54,Referral,24,2,0,NULL,0,34.16,0
203,Andalucía,45-54,Web,24,4,0,NULL,1,28.8,0
204,Andalucía,45-54,Web,36,5,0,NULL,1,41.82,0
205,Valencia,35-44,In-store,36,14,0,NULL,0,44.58,0
206,Valencia,55+,Phone,24,3,0,NULL,0,51.46,0
207,Madrid,25-34,Phone,36,13,0,NULL,0,42.39,0
208,Valencia,25-34,Web,24,4,3,12.5666666666667,0,32.62,0
209,Barcelona,25-34,In-store,24,2,0,NULL,0,30.08,1
210,Andalucía,25-34,Partner,36,3,0,NULL,0,34.19,1
211,Valencia,45-54,Referral,36,5,0,NULL,0,41.44,0
212,País Vasco,25-34,Phone,24,6,0,NULL,0,50.66,0
213,Valencia,45-54,Referral,24,6,0,NULL,0,26.09,0
214,Barcelona,35-44,Phone,24,3,0,NULL,0,35.26,0
215,Barcelona,25-34,Partner,36,6,0,NULL,0,41.45,1
216,Madrid,25-34,Partner,24,4,0,NULL,0,42.77,0
217,Andalucía,35-44,Phone,24,3,0,NULL,0,40.73,0
218,Galicia,45-54,Phone,36,2,0,NULL,0,35.58,0
219,País Vasco,35-44,Web,24,0,0,NULL,0,33.81,0
220,Valencia,25-34,Web,24,6,0,NULL,0,37.33,1
221,Madrid,25-34,Partner,24,4,0,NULL,0,40.01,0
222,Galicia,25-34,Web,36,2,0,NULL,1,40.94,0
223,Madrid,18-24,Partner,24,1,0,NULL,0,31.33,0
224,Barcelona,55+,Web,24,3,0,NULL,1,37.29,0
225,Galicia,25-34,Web,24,5,0,NULL,0,48.74,0
226,Barcelona,25-34,Partner,36,5,0,NULL,0,42.38,1
227,Madrid,55+,Web,36,4,0,NULL,0,32.12,1
228,Barcelona,45-54,Referral,24,5,0,NULL,0,48.02,0
229,Andalucía,35-44,Referral,24,4,0,NULL,0,31.84,0
230,Madrid,45-54,Phone,36,5,0,NULL,1,44.44,0
231,Andalucía,55+,Phone,24,4,0,NULL,1,28.85,0
232,Valencia,25-34,Web,24,4,0,NULL,0,46.02,1
233,Barcelona,25-34,In-store,24,6,0,NULL,0,32.19,0
234,Barcelona,55+,Web,24,6,0,NULL,0,37.55,1
235,Galicia,45-54,Referral,24,4,0,NULL,0,48.11,0
236,Barcelona,55+,Referral,24,3,0,NULL,1,40.03,0
237,País Vasco,25-34,Web,24,3,0,NULL,0,34.18,0
238,Valencia,55+,Partner,24,0,0,NULL,0,27.06,0
239,Madrid,25-34,Phone,36,6,0,NULL,0,31.99,0
240,Valencia,45-54,Phone,24,3,0,NULL,0,30.72,0
241,Valencia,55+,Web,24,6,0,NULL,1,36.51,0
242,Valencia,25-34,Partner,36,4,0,NULL,0,40.02,0
243,País Vasco,25-34,Web,24,7,0,NULL,0,48.91,0
244,Galicia,35-44,In-store,36,5,0,NULL,0,44.75,0
245,País Vasco,55+,Phone,24,6,0,NULL,0,48.2,0
246,Andalucía,18-24,Partner,36,3,0,NULL,0,38.56,0
247,Andalucía,55+,Referral,24,1,0,NULL,0,35.62,0
248,Andalucía,25-34,Partner,24,4,0,NULL,0,39.2,0
249,Barcelona,35-44,Phone,24,0,0,NULL,1,36.48,0
250,País Vasco,25-34,Phone,24,4,0,NULL,0,30.04,0
251,Galicia,55+,Phone,24,2,0,NULL,1,45.79,0
252,Barcelona,25-34,Web,36,2,0,NULL,0,45.15,0
253,Galicia,35-44,Referral,36,9,0,NULL,0,30.06,1
254,Galicia,25-34,Web,24,5,0,NULL,0,33.5,0
255,Valencia,55+,Phone,36,4,0,NULL,0,32.96,0
256,Galicia,45-54,In-store,36,5,0,NULL,0,37.19,0
257,Madrid,25-34,Web,36,3,0,NULL,0,36.87,0
258,Madrid,25-34,In-store,36,9,0,NULL,1,49.66,0
259,Barcelona,35-44,Web,36,5,0,NULL,0,39.11,1
260,Andalucía,35-44,Web,24,3,0,NULL,0,36.45,0
261,Barcelona,45-54,Partner,36,6,0,NULL,0,47.55,0
262,Canarias,35-44,Phone,36,6,0,NULL,0,48.36,0
263,Barcelona,35-44,Referral,24,2,0,NULL,0,43.75,0
264,Barcelona,45-54,Phone,24,5,0,NULL,0,40.13,0
265,Andalucía,35-44,Web,24,2,0,NULL,0,32.03,0
266,Madrid,25-34,Web,36,3,0,NULL,0,43.19,0
267,País Vasco,25-34,Phone,24,4,0,NULL,0,46.83,0
268,Barcelona,25-34,Phone,36,1,0,NULL,0,53.64,0
269,Canarias,35-44,Web,36,3,0,NULL,0,36.03,0
270,Andalucía,25-34,Phone,36,4,0,NULL,0,39.9,1
271,Madrid,35-44,Referral,24,5,0,NULL,0,35.49,0
272,Madrid,25-34,Phone,36,5,0,NULL,0,30.46,0
273,Madrid,45-54,Partner,36,5,0,NULL,0,35.44,0
274,Canarias,18-24,Web,24,8,0,NULL,0,27.05,0
275,Andalucía,35-44,In-store,36,6,0,NULL,1,40.0,0
276,Valencia,18-24,Web,24,4,0,NULL,0,33.66,0
277,Madrid,25-34,Phone,36,2,0,NULL,0,42.69,0
278,Galicia,18-24,Web,24,3,0,NULL,1,40.29,0
279,Madrid,35-44,Web,24,1,0,NULL,1,30.78,1
280,Andalucía,45-54,Web,24,4,0,NULL,0,41.04,0
281,País Vasco,25-34,Web,24,5,0,NULL,0,29.24,0
282,Barcelona,45-54,In-store,24,6,0,NULL,0,28.05,0
283,Valencia,35-44,Web,36,5,0,NULL,0,50.14,0
284,Barcelona,35-44,Referral,24,6,0,NULL,0,26.39,0
285,Barcelona,35-44,Phone,24,6,0,NULL,0,33.78,0
286,Canarias,25-34,Web,36,2,0,NULL,0,42.29,0
287,Andalucía,45-54,Phone,36,6,0,NULL,0,34.47,0
288,Galicia,45-54,Web,24,4,0,NULL,0,34.77,0
289,Andalucía,45-54,In-store,36,3,0,NULL,0,40.74,1
290,Barcelona,25-34,Web,24,4,0,NULL,0,41.52,0
291,Andalucía,45-54,In-store,36,5,0,NULL,0,37.3,0
292,Valencia,25-34,Web,24,4,0,NULL,0,47.6,0
293,Madrid,35-44,Web,36,4,0,NULL,0,30.73,0
294,Valencia,18-24,Web,36,2,0,NULL,0,37.59,0
295,Andalucía,25-34,Partner,36,5,0,NULL,0,31.7,1
296,País Vasco,45-54,Phone,24,15,0,NULL,0,27.34,1
297,Barcelona,55+,Referral,36,2,0,NULL,0,48.5,0
298,Galicia,18-24,Web,24,2,0,NULL,0,41.16,0
299,Barcelona,35-44,Web,36,9,0,NULL,1,33.15,0
300,Barcelona,45-54,In-store,36,7,0,NULL,0,36.65,1
301,Madrid,55+,Phone,36,4,0,NULL,1,34.42,0
302,País Vasco,45-54,In-store,24,3,0,NULL,0,44.81,0
303,Barcelona,25-34,Phone,24,6,0,NULL,0,36.72,0
304,Valencia,25-34,Partner,24,20,0,NULL,0,50.1,0
305,Barcelona,45-54,Web,24,4,0,NULL,0,31.07,1
306,Andalucía,25-34,Referral,24,6,0,NULL,0,32.46,0
307,País Vasco,55+,Web,24,2,0,NULL,0,49.96,0
308,Barcelona,55+,In-store,36,3,0,NULL,0,46.77,0
309,Canarias,55+,Web,24,11,0,NULL,1,33.72,1
310,Madrid,25-34,In-store,24,4,0,NULL,0,39.18,1
311,Madrid,45-54,In-store,24,5,0,NULL,0,49.69,0
312,Andalucía,45-54,In-store,36,6,0,NULL,0,41.87,1
313,Andalucía,18-24,Phone,36,1,0,NULL,1,40.78,0
314,Barcelona,25-34,Phone,24,4,0,NULL,0,41.84,0
315,Andalucía,25-34,In-store,24,8,0,NULL,0,48.41,0
316,Barcelona,35-44,Phone,24,3,0,NULL,1,40.54,1
317,Andalucía,55+,Partner,24,3,0,NULL,1,27.79,0
318,Andalucía,55+,Web,24,0,0,NULL,0,34.66,0
319,Canarias,25-34,Phone,24,4,1,18.7,0,44.7,0
320,Valencia,35-44,Web,36,5,0,NULL,0,38.56,0
321,Andalucía,25-34,Partner,24,5,0,NULL,0,33.89,0
322,Andalucía,25-34,Web,36,2,0,NULL,0,40.24,0
323,Barcelona,18-24,Phone,24,4,0,NULL,1,39.01,0
324,Barcelona,45-54,In-store,36,7,0,NULL,0,49.83,0
325,Canarias,45-54,Phone,36,4,2,16.55,0,34.04,0
326,Madrid,55+,In-store,36,2,0,NULL,0,44.07,0
327,País Vasco,55+,Web,24,4,0,NULL,0,39.58,0
328,Madrid,25-34,Phone,24,2,0,NULL,0,28.1,0
329,País Vasco,45-54,Phone,36,0,0,NULL,0,39.05,0
330,Madrid,25-34,Phone,36,5,0,NULL,0,28.65,1
331,Canarias,35-44,Partner,24,4,0,NULL,0,45.26,0
332,Andalucía,35-44,Web,24,5,0,NULL,1,44.07,0
333,Madrid,18-24,Phone,24,4,0,NULL,0,27.52,1
334,Andalucía,25-34,Web,36,5,0,NULL,0,36.85,1
335,Andalucía,25-34,Partner,36,11,0,NULL,0,49.0,1
336,Barcelona,25-34,In-store,36,8,0,NULL,1,35.21,1
337,Barcelona,55+,Web,36,6,0,NULL,0,49.78,0
338,Andalucía,25-34,Phone,24,8,0,NULL,0,30.24,1
339,País Vasco,35-44,Phone,24,1,0,NULL,0,26.66,0
340,Barcelona,55+,Partner,24,4,0,NULL,0,37.41,0
341,Galicia,35-44,Web,36,9,0,NULL,0,29.36,1
342,Barcelona,35-44,Phone,24,2,0,NULL,0,50.76,0
343,Madrid,55+,In-store,24,8,0,NULL,0,44.16,0
344,Andalucía,25-34,Phone,24,2,0,NULL,0,39.77,0
345,Madrid,25-34,In-store,24,0,0,NULL,0,45.07,0
346,Barcelona,35-44,Web,24,6,0,NULL,0,44.0,0
347,Valencia,35-44,Referral,24,3,2,19.8,0,42.71,0
348,Barcelona,45-54,Web,24,6,0,NULL,0,42.85,0
349,Barcelona,18-24,Web,36,2,0,NULL,0,46.24,0
350,Andalucía,35-44,Phone,24,3,0,NULL,0,39.48,0
351,Andalucía,45-54,Phone,24,6,0,NULL,0,33.74,1
352,Galicia,55+,Partner,24,1,0,NULL,0,35.47,0
353,Andalucía,25-34,Web,36,4,0,NULL,0,35.39,1
354,Valencia,25-34,Web,24,15,0,NULL,1,32.83,0
355,Barcelona,55+,In-store,36,3,0,NULL,1,39.34,0
356,País Vasco,45-54,Web,36,5,1,8.0,0,36.6,0
357,Madrid,18-24,Partner,36,7,0,NULL,0,30.83,0
358,Barcelona,18-24,Partner,24,16,0,NULL,1,48.56,0
359,Galicia,45-54,Web,36,8,0,NULL,0,44.03,0
360,País Vasco,35-44,Partner,24,17,0,NULL,0,35.43,0
361,Andalucía,35-44,In-store,24,5,0,NULL,0,49.74,0
362,Madrid,55+,In-store,24,4,0,NULL,0,53.21,0
363,Madrid,25-34,Web,24,5,0,NULL,0,47.73,1
364,Valencia,25-34,Phone,24,4,0,NULL,0,28.61,0
365,País Vasco,35-44,Referral,24,1,0,NULL,0,36.31,0
366,Valencia,55+,Phone,24,7,0,NULL,0,37.63,0
367,Madrid,25-34,Web,24,6,0,NULL,0,44.34,0
368,Madrid,45-54,Web,24,1,0,NULL,0,43.05,1
369,Andalucía,25-34,Partner,36,2,0,NULL,0,42.37,0
370,Andalucía,25-34,In-store,24,3,0,NULL,1,43.43,1
371,Madrid,55+,Referral,36,5,0,NULL,0,50.75,0
372,Madrid,25-34,Referral,24,9,0,NULL,0,38.96,0
373,Barcelona,18-24,Web,24,2,0,NULL,0,48.59,0
374,Madrid,45-54,Partner,24,4,0,NULL,0,48.18,0
375,Andalucía,35-44,Web,24,4,0,NULL,0,31.21,0
376,Madrid,35-44,Web,24,5,0,NULL,0,48.03,1
377,Andalucía,45-54,Web,24,10,0,NULL,1,27.06,1
378,País Vasco,25-34,Referral,24,3,0,NULL,1,30.93,0
379,Canarias,45-54,Web,24,9,0,NULL,0,49.42,0
380,Canarias,25-34,Phone,24,5,0,NULL,0,35.63,0
381,Barcelona,25-34,Phone,24,6,0,NULL,1,37.33,0
382,Madrid,45-54,Web,24,6,0,NULL,1,50.72,0
383,Barcelona,25-34,Phone,24,5,0,NULL,0,36.0,0
384,Andalucía,55+,Web,24,4,0,NULL,0,31.21,0
385,Madrid,55+,Phone,24,4,0,NULL,0,29.43,0
386,Barcelona,55+,Phone,24,3,0,NULL,0,42.48,0
387,Barcelona,25-34,In-store,24,2,0,NULL,0,32.74,0
388,Barcelona,25-34,Partner,36,4,0,NULL,0,28.14,0
389,Andalucía,55+,In-store,24,5,0,NULL,0,44.24,0
390,Andalucía,35-44,Web,24,4,0,NULL,1,33.26,0
391,Andalucía,45-54,Web,24,6,0,NULL,0,37.66,0
392,Galicia,55+,Phone,36,2,0,NULL,0,27.73,0
393,Madrid,25-34,Referral,24,2,0,NULL,0,40.11,1
394,Madrid,25-34,Web,24,6,0,NULL,1,43.8,0
395,Barcelona,45-54,Web,36,3,0,NULL,0,36.6,0
396,Andalucía,35-44,Referral,24,6,0,NULL,1,33.44,1
397,Andalucía,25-34,Referral,36,4,0,NULL,0,32.06,0
398,Madrid,35-44,Web,24,8,0,NULL,0,28.91,1
399,Canarias,45-54,In-store,36,6,0,NULL,0,28.4,0
400,Barcelona,25-34,Phone,24,14,0,NULL,0,39.86,0
401,Barcelona,25-34,Phone,24,6,0,NULL,0,29.56,0
402,Andalucía,45-54,Phone,36,3,0,NULL,0,30.85,0
403,Canarias,45-54,Referral,24,1,0,NULL,1,30.26,0
404,Andalucía,55+,Web,36,5,0,NULL,0,45.62,0
405,Canarias,25-34,In-store,24,8,0,NULL,1,37.04,1
406,Madrid,55+,Web,36,0,0,NULL,1,41.0,0
407,Andalucía,45-54,Partner,36,5,0,NULL,0,39.63,0
408,Galicia,45-54,Partner,24,1,0,NULL,1,34.5,0
409,Valencia,25-34,In-store,36,4,0,NULL,0,31.82,0
410,Barcelona,18-24,Referral,24,4,0,NULL,1,35.76,1
411,Canarias,35-44,In-store,36,18,0,NULL,0,39.89,1
412,Madrid,25-34,Partner,24,4,0,NULL,1,37.08,0
413,Valencia,25-34,Web,24,7,0,NULL,0,27.76,0
414,Galicia,55+,Referral,36,6,0,NULL,0,46.32,0
415,Galicia,25-34,Phone,24,4,0,NULL,0,44.32,0
416,Canarias,55+,Phone,24,6,0,NULL,0,28.13,0
417,Galicia,35-44,Phone,24,17,0,NULL,0,47.01,0
418,Madrid,55+,Phone,36,3,0,NULL,1,34.12,0
419,Canarias,25-34,Phone,24,3,0,NULL,1,31.08,0
