customer_id,signup_date,region,age_group,acquisition_channel,contract_length_months,subscription_id,subscription_start_date,monthly_fee,subscription_status,cancellation_date,is_churned,install_date,install_delay_days,tickets_60d,avg_resolution_time_hours_60d,has_upsell
49,2025-05-10,Madrid,25-34,Phone,24,49,2025-05-10,48.19,active,NULL,0,2025-05-22,7,0,NULL,1
50,2025-07-22,Madrid,35-44,Web,24,50,2025-07-22,40.61,cancelled,2025-09-11,1,2025-08-02,6,0,NULL,0
51,2025-07-09,Galicia,35-44,Phone,24,51,2025-07-09,43.33,active,NULL,0,2025-07-14,4,0,NULL,0
52,2024-05-22,Andalucía,35-44,Web,24,52,2024-05-22,39.78,active,NULL,0,2024-05-27,4,0,NULL,0
53,2024-09-23,Barcelona,45-54,Web,36,53,2024-09-23,39.6,active,NULL,0,2024-10-05,9,0,NULL,0
54,2024-12-07,Barcelona,35-44,Phone,36,54,2024-12-07,45.27,active,NULL,0,2024-12-19,7,0,NULL,0
55,2024-12-29,Andalucía,55+,Web,24,55,2024-12-29,26.4,active,NULL,0,2025-01-02,0,0,NULL,0
56,2024-02-02,Galicia,35-44,Web,36,56,2024-02-02,32.34,active,NULL,0,2024-02-13,7,0,NULL,0
57,2025-02-03,Barcelona,25-34,In-store,24,57,2025-02-03,44.78,active,NULL,0,2025-02-10,3,0,NULL,0
58,2024-04-22,Barcelona,25-34,In-store,24,58,2024-04-22,51.82,active,NULL,0,2024-04-28,5,0,NULL,0
59,2025-06-27,Galicia,35-44,Web,24,59,2025-06-27,33.32,active,NULL,0,2025-07-03,5,0,NULL,0
60,2025-05-14,Galicia,25-34,Partner,24,60,2025-05-14,51.15,active,NULL,0,2025-05-21,6,0,NULL,0
61,2025-11-05,Galicia,25-34,Web,24,61,2025-11-05,43.11,active,NULL,0,2025-11-17,7,0,NULL,0
62,2025-06-28,Barcelona,25-34,In-store,36,62,2025-06-28,40.28,active,NULL,0,2025-07-04,1,0,NULL,0
63,2024-09-25,Madrid,45-54,In-store,36,63,2024-09-25,39.29,cancelled,2025-02-19,1,2024-10-11,11,0,NULL,0
64,2025-12-08,Valencia,55+,Partner,24,64,2025-12-08,29.79,active,NULL,0,2025-12-13,4,1,15.7,1
65,2024-10-27,Barcelona,25-34,Partner,24,65,2024-10-27,43.2,cancelled,2024-12-31,1,2024-11-04,3,0,NULL,0
66,2024-08-26,Galicia,25-34,Web,24,66,2024-08-26,25.05,cancelled,2024-12-28,1,2024-09-08,8,0,NULL,0
67,2025-10-23,Madrid,35-44,Web,24,67,2025-10-23,36.6,active,NULL,0,2025-11-01,5,0,NULL,0
68,2024-09-27,Andalucía,25-34,Phone,24,68,2024-09-27,28.27,active,NULL,0,2024-10-03,3,0,NULL,1
69,2024-02-25,Galicia,55+,Web,36,69,2024-02-25,46.97,active,NULL,0,2024-03-05,8,0,NULL,1
70,2024-12-09,Canarias,35-44,Partner,36,70,2024-12-09,35.52,cancelled,2025-02-20,1,2024-12-15,4,0,NULL,0
71,2025-08-04,Andalucía,45-54,Phone,24,71,2025-08-04,38.43,active,NULL,0,2025-08-09,3,0,NULL,0
72,2024-05-18,Canarias,55+,Web,24,72,2024-05-18,35.24,active,NULL,0,2024-05-25,3,0,NULL,0
73,2024-12-04,Madrid,45-54,Phone,36,73,2024-12-04,30.49,active,NULL,0,2024-12-14,5,0,NULL,0
74,2024-04-04,Barcelona,25-34,In-store,36,74,2024-04-04,35.2,active,NULL,0,2024-04-10,3,0,NULL,0
75,2025-05-16,Madrid,35-44,Phone,24,75,2025-05-16,46.66,active,NULL,0,2025-05-21,4,0,NULL,0
76,2024-12-13,Canarias,35-44,Phone,24,76,2024-12-13,39.76,active,NULL,0,2024-12-24,9,0,NULL,0
77,2024-08-29,Galicia,35-44,In-store,36,77,2024-08-29,33.1,active,NULL,0,2024-09-06,4,0,NULL,0
78,2024-06-14,Madrid,55+,Web,36,78,2024-06-14,45.56,cancelled,2024-08-31,1,2024-06-26,8,0,NULL,0
79,2025-02-16,Madrid,25-34,Partner,24,79,2025-02-16,29.95,active,NULL,0,2025-02-21,4,0,NULL,0
80,2025-05-04,Barcelona,35-44,Phone,36,80,2025-05-04,49.79,active,NULL,0,2025-05-13,7,0,NULL,1
81,2025-11-18,Barcelona,25-34,Web,24,81,2025-11-18,28.79,active,NULL,0,2025-11-26,6,0,NULL,1
82,2024-11-15,Galicia,25-34,Referral,36,82,2024-11-15,45.09,active,NULL,0,2024-11-23,7,0,NULL,0
83,2024-04-27,Madrid,35-44,Phone,24,83,2024-04-27,49.42,active,NULL,0,2024-05-07,8,0,NULL,0
84,2025-08-31,País Vasco,45-54,Web,24,84,2025-08-31,46.19,cancelled,2025-10-07,1,2025-09-09,4,0,NULL,0
85,2025-04-05,Andalucía,45-54,Web,24,85,2025-04-05,25.62,active,NULL,0,2025-04-11,5,0,NULL,0
86,2025-05-26,Barcelona,25-34,Referral,24,86,2025-05-26,40.05,active,NULL,0,2025-06-02,4,0,NULL,0
87,2024-03-12,Madrid,18-24,In-store,24,87,2024-03-12,49.25,active,NULL,0,2024-03-20,4,0,NULL,0
88,2024-08-16,Canarias,35-44,Web,24,88,2024-08-16,39.98,active,NULL,0,2024-08-23,3,0,NULL,0
89,2025-07-15,Andalucía,35-44,Phone,24,89,2025-07-15,36.23,active,NULL,0,2025-07-25,8,0,NULL,0
90,2025-08-31,Valencia,45-54,Web,24,90,2025-08-31,36.68,active,NULL,0,2025-09-05,2,0,NULL,0
91,2024-11-14,Barcelona,45-54,Partner,36,91,2024-11-14,33.08,cancelled,2025-05-07,1,2024-11-22,4,0,NULL,0
92,2025-08-11,Galicia,55+,Phone,36,92,2025-08-11,34.38,active,NULL,0,2025-08-21,6,0,NULL,1
93,2025-09-07,Galicia,45-54,Web,36,93,2025-09-07,23.66,active,NULL,0,2025-09-15,3,0,NULL,0
94,2024-10-10,País Vasco,35-44,Phone,24,94,2024-10-10,42.74,active,NULL,0,2024-10-15,3,0,NULL,0
95,2025-10-18,Andalucía,45-54,Referral,24,95,2025-10-18,34.32,active,NULL,0,2025-10-22,3,0,NULL,0
96,2024-07-29,Galicia,45-54,Web,36,96,2024-07-29,28.47,active,NULL,0,2024-08-05,2,0,NULL,0
97,2024-06-24,Barcelona,55+,Web,24,97,2024-06-24,26.24,active,NULL,0,2024-07-02,4,0,NULL,1
98,2025-05-13,Andalucía,35-44,Referral,24,98,2025-05-13,49.6,active,NULL,0,2025-05-21,5,0,NULL,0
99,2025-04-10,Valencia,45-54,Web,36,99,2025-04-10,38.66,active,NULL,0,2025-04-20,7,0,NULL,1
100,2024-04-12,Andalucía,35-44,Phone,36,100,2024-04-12,39.85,active,NULL,0,2024-04-19,2,0,NULL,0
101,2025-08-31,Canarias,45-54,Phone,24,101,2025-08-31,46.91,active,NULL,0,2025-09-09,4,0,NULL,1
102,2024-05-26,Canarias,55+,Web,36,102,2024-05-26,41.58,active,NULL,0,2024-06-06,6,0,NULL,0
103,2025-08-11,Valencia,55+,Web,24,103,2025-08-11,37.04,active,NULL,0,2025-08-16,2,0,NULL,0
104,2024-01-06,Andalucía,25-34,Web,36,104,2024-01-06,40.32,cancelled,2024-04-28,1,2024-01-17,7,0,NULL,0
105,2025-08-05,Galicia,25-34,Web,24,105,2025-08-05,28.56,active,NULL,0,2025-08-11,3,0,NULL,0
106,2025-07-29,Canarias,45-54,Phone,24,106,2025-07-29,39.54,active,NULL,0,2025-08-06,5,0,NULL,0
107,2025-07-24,País Vasco,45-54,In-store,24,107,2025-07-24,30.02,cancelled,2025-09-26,1,2025-08-01,4,0,NULL,0
108,2025-05-01,Madrid,55+,Web,24,108,2025-05-01,50.13,active,NULL,0,2025-05-07,5,0,NULL,0
109,2024-12-10,Barcelona,25-34,Partner,36,109,2024-12-10,41.22,active,NULL,0,2024-12-22,7,0,NULL,0
110,2025-05-30,Galicia,55+,Phone,24,110,2025-05-30,31.54,active,NULL,0,2025-06-05,4,0,NULL,0
111,2024-07-21,País Vasco,45-54,Web,36,111,2024-07-21,41.78,active,NULL,0,2024-07-30,6,0,NULL,0
112,2025-07-24,País Vasco,25-34,Phone,36,112,2025-07-24,29.56,active,NULL,0,2025-08-06,9,0,NULL,0
113,2025-02-10,Andalucía,25-34,Web,24,113,2025-02-10,34.17,cancelled,2025-03-28,1,2025-02-14,2,0,NULL,1
114,2024-12-01,Valencia,45-54,Partner,36,114,2024-12-01,49.51,active,NULL,0,2024-12-07,4,0,NULL,0
115,2025-01-04,Valencia,25-34,Web,24,115,2025-01-04,45.41,active,NULL,0,2025-01-09,4,0,NULL,1
116,2025-02-19,País Vasco,45-54,Partner,24,116,2025-02-19,43.83,active,NULL,0,2025-02-25,5,0,NULL,0
117,2024-01-28,Barcelona,35-44,Referral,24,117,2024-01-28,38.3,active,NULL,0,2024-02-07,5,0,NULL,0
118,2024-04-12,Andalucía,35-44,Web,36,118,2024-04-12,36.88,active,NULL,0,2024-04-20,5,0,NULL,0
119,2024-06-28,País Vasco,25-34,Referral,36,119,2024-06-28,25.78,active,NULL,0,2024-07-08,6,0,NULL,1
120,2024-03-24,Galicia,55+,Web,36,120,2024-03-24,37.91,active,NULL,0,2024-04-01,7,0,NULL,0
121,2024-11-17,Barcelona,45-54,Web,36,121,2024-11-17,41.04,cancelled,2025-02-12,1,2024-11-28,6,0,NULL,0
122,2025-05-03,País Vasco,45-54,Web,36,122,2025-05-03,26.69,active,NULL,0,2025-05-08,3,0,NULL,0
123,2025-04-23,Madrid,45-54,In-store,24,123,2025-04-23,30.13,active,NULL,0,2025-04-29,3,0,NULL,1
124,2024-12-10,Madrid,35-44,Partner,36,124,2024-12-10,27.3,active,NULL,0,2024-12-19,6,0,NULL,0
125,2025-09-17,Valencia,55+,Referral,24,125,2025-09-17,31.86,cancelled,2025-11-17,1,2025-09-26,5,0,NULL,0
126,2025-02-17,Madrid,35-44,Partner,24,126,2025-02-17,29.28,cancelled,2025-07-23,1,2025-02-22,4,0,NULL,0
127,2024-02-27,Canarias,35-44,Phone,24,127,2024-02-27,38.41,active,NULL,0,2024-03-07,4,0,NULL,0
128,2025-07-13,Galicia,25-34,In-store,24,128,2025-07-13,37.41,active,NULL,0,2025-07-17,3,0,NULL,0
129,2025-02-24,Madrid,25-34,Referral,24,129,2025-02-24,35.88,cancelled,2025-06-17,1,2025-03-12,12,0,NULL,0
130,2025-04-08,Galicia,45-54,In-store,24,130,2025-04-08,32.13,active,NULL,0,2025-04-12,2,0,NULL,0
131,2025-02-17,Valencia,25-34,Phone,24,131,2025-02-17,40.25,active,NULL,0,2025-02-22,0,0,NULL,0
132,2025-02-08,Andalucía,45-54,In-store,24,132,2025-02-08,43.15,active,NULL,0,2025-02-16,5,0,NULL,0
133,2024-03-07,Galicia,55+,Web,36,133,2024-03-07,29.94,active,NULL,0,2024-03-15,3,0,NULL,1
134,2025-02-12,Andalucía,35-44,Referral,36,134,2025-02-12,31.12,active,NULL,0,2025-02-22,5,0,NULL,0
135,2025-08-04,Madrid,25-34,Referral,24,135,2025-08-04,40.98,active,NULL,0,2025-08-13,7,0,NULL,0
136,2024-08-10,Madrid,45-54,Partner,24,136,2024-08-10,31.19,active,NULL,0,2024-08-14,2,0,NULL,0
137,2025-03-16,Valencia,18-24,Web,24,137,2025-03-16,33.7,active,NULL,0,2025-03-18,1,0,NULL,0
138,2024-01-23,Canarias,45-54,Web,24,138,2024-01-23,37.15,cancelled,2024-05-22,1,2024-01-30,3,0,NULL,0
139,2024-09-11,Andalucía,35-44,Referral,36,139,2024-09-11,30.16,active,NULL,0,2024-09-15,3,0,NULL,0
140,2024-11-15,Barcelona,35-44,In-store,24,140,2024-11-15,48.55,active,NULL,0,2024-11-20,4,0,NULL,0
141,2025-12-19,Madrid,35-44,In-store,36,141,2025-12-19,49.97,active,NULL,0,2025-12-29,5,0,NULL,0
142,2024-06-05,Galicia,35-44,Referral,36,142,2024-06-05,32.46,cancelled,2024-10-24,1,2024-06-16,7,0,NULL,0
143,2024-07-21,Barcelona,25-34,Phone,24,143,2024-07-21,36.71,active,NULL,0,2024-07-28,4,0,NULL,0
144,2024-10-25,Andalucía,25-34,In-store,36,144,2024-10-25,48.09,active,NULL,0,2024-11-01,6,0,NULL,0
145,2025-12-26,Andalucía,35-44,Web,24,145,2025-12-26,33.77,active,NULL,0,2026-01-05,5,3,24.9,1
146,2025-09-15,Barcelona,55+,Web,36,146,2025-09-15,50.83,active,NULL,0,2025-09-24,4,0,NULL,0
147,2024-01-26,Madrid,25-34,Phone,36,147,2024-01-26,46.73,active,NULL,0,2024-02-03,7,0,NULL,0
148,2024-06-20,Barcelona,25-34,Web,36,148,2024-06-20,31.54,cancelled,2024-09-21,1,2024-06-25,1,0,NULL,0
149,2025-08-23,Barcelona,25-34,Phone,36,149,2025-08-23,33.79,active,NULL,0,2025-08-31,6,0,NULL,0
150,2024-02-12,Andalucía,35-44,In-store,36,150,2024-02-12,29.3,active,NULL,0,2024-02-20,4,0,NULL,0
151,2025-09-17,País Vasco,25-34,Web,36,151,2025-09-17,46.37,active,NULL,0,2025-09-21,2,0,NULL,0
152,2024-07-24,Barcelona,45-54,Partner,24,152,2024-07-24,34.89,active,NULL,0,2024-07-28,3,0,NULL,0
153,2025-11-01,Andalucía,25-34,Web,36,153,2025-11-01,42.19,active,NULL,0,2025-11-11,6,0,NULL,0
154,2024-08-02,Madrid,45-54,In-store,36,154,2024-08-02,42.75,active,NULL,0,2024-08-09,2,0,NULL,0
155,2024-11-13,Barcelona,25-34,Web,24,155,2024-11-13,46.56,active,NULL,0,2024-11-22,5,0,NULL,1
156,2025-04-28,País Vasco,35-44,Partner,36,156,2025-04-28,46.88,active,NULL,0,2025-05-05,6,0,NULL,0
157,2024-04-02,País Vasco,25-34,Phone,24,157,2024-04-02,28.92,active,NULL,0,2024-04-09,4,0,NULL,0
158,2025-02-11,País Vasco,45-54,Phone,24,158,2025-02-11,35.36,active,NULL,0,2025-02-16,2,0,NULL,0
159,2025-01-04,Madrid,55+,Web,24,159,2025-01-04,41.91,active,NULL,0,2025-01-12,4,0,NULL,1
160,2025-07-27,Andalucía,25-34,Web,24,160,2025-07-27,43.62,active,NULL,0,2025-08-08,8,0,NULL,0
161,2025-12-29,Valencia,55+,Web,36,161,2025-12-29,42.74,active,NULL,0,2026-01-06,3,0,NULL,0
162,2025-04-30,Canarias,25-34,Web,24,162,2025-04-30,37.7,active,NULL,0,2025-05-06,2,0,NULL,0
163,2024-10-26,Andalucía,35-44,Web,24,163,2024-10-26,45.48,active,NULL,0,2024-11-04,4,0,NULL,0
164,2024-10-24,Canarias,45-54,Partner,24,164,2024-10-24,36.75,cancelled,2024-12-25,1,2024-10-30,1,0,NULL,0
165,2024-11-01,Madrid,25-34,Web,24,165,2024-11-01,27.46,active,NULL,0,2024-11-07,4,0,NULL,0
166,2025-08-18,Valencia,35-44,Web,36,166,2025-08-18,49.16,active,NULL,0,2025-08-28,6,0,NULL,0
167,2024-08-22,País Vasco,18-24,Web,36,167,2024-08-22,41.24,active,NULL,0,2024-08-29,6,0,NULL,0
168,2024-05-02,Barcelona,45-54,Phone,24,168,2024-05-02,46.72,active,NULL,0,2024-05-08,2,0,NULL,0
169,2024-09-01,Andalucía,35-44,Phone,24,169,2024-09-01,33.06,active,NULL,0,2024-09-06,3,0,NULL,0
170,2024-01-17,Valencia,55+,Partner,24,170,2024-01-17,43.65,active,NULL,0,2024-01-25,6,0,NULL,0
171,2024-03-18,Canarias,25-34,Phone,24,171,2024-03-18,34.24,cancelled,2025-03-11,1,2024-03-26,5,0,NULL,0
172,2024-03-06,Madrid,55+,Phone,24,172,2024-03-06,38.14,active,NULL,0,2024-03-11,3,0,NULL,0
173,2025-07-18,Canarias,25-34,Phone,24,173,2025-07-18,29.21,active,NULL,0,2025-07-26,4,0,NULL,0
174,2025-06-12,Valencia,35-44,Web,24,174,2025-06-12,42.98,active,NULL,0,2025-06-19,4,0,NULL,0
175,2025-05-24,Valencia,25-34,Partner,24,175,2025-05-24,33.21,active,NULL,0,2025-05-28,0,0,NULL,0
176,2024-12-03,Andalucía,25-34,Web,24,176,2024-12-03,32.76,active,NULL,0,2024-12-12,6,0,NULL,0
177,2025-06-08,Barcelona,25-34,In-store,24,177,2025-06-08,35.52,active,NULL,0,2025-06-16,6,0,NULL,0
178,2024-04-27,Canarias,45-54,Phone,36,178,2024-04-27,36.72,active,NULL,0,2024-05-04,3,0,NULL,0
179,2025-10-20,Galicia,25-34,Partner,36,179,2025-10-20,39.62,active,NULL,0,2025-10-26,1,0,NULL,1
180,2025-01-01,Canarias,35-44,Phone,24,180,2025-01-01,41.2,active,NULL,0,2025-01-11,7,0,NULL,0
181,2025-11-16,Canarias,55+,Referral,36,181,2025-11-16,43.24,active,NULL,0,2025-11-24,4,0,NULL,0
182,2024-04-21,Andalucía,25-34,Phone,36,182,2024-04-21,36.2,active,NULL,0,2024-04-30,5,0,NULL,0
183,2024-12-29,Valencia,18-24,Phone,24,183,2024-12-29,38.34,active,NULL,0,2024-12-31,1,0,NULL,0
184,2025-05-24,Galicia,25-34,In-store,24,184,2025-05-24,28.87,active,NULL,0,2025-05-27,2,0,NULL,0
185,2024-12-28,Madrid,25-34,Partner,24,185,2024-12-28,39.09,active,NULL,0,2025-01-05,5,0,NULL,0
186,2024-11-22,Galicia,35-44,Phone,36,186,2024-11-22,45.73,active,NULL,0,2024-11-30,6,0,NULL,0
187,2024-05-01,Valencia,45-54,Web,24,187,2024-05-01,35.08,cancelled,2024-09-19,1,2024-05-07,2,0,NULL,0
188,2024-10-05,Andalucía,25-34,Web,36,188,2024-10-05,48.0,active,NULL,0,2024-10-14,4,0,NULL,0
189,2024-06-23,Barcelona,25-34,In-store,24,189,2024-06-23,31.49,active,NULL,0,2024-06-29,2,0,NULL,0
190,2024-08-08,Barcelona,45-54,Web,24,190,2024-08-08,44.99,active,NULL,0,2024-08-13,3,0,NULL,0
191,2025-05-14,Madrid,25-34,Web,36,191,2025-05-14,46.01,active,NULL,0,2025-05-20,4,0,NULL,1
192,2025-04-05,Valencia,35-44,Web,24,192,2025-04-05,40.64,active,NULL,0,2025-04-11,5,0,NULL,0
193,2025-03-19,Valencia,55+,Referral,36,193,2025-03-19,40.51,active,NULL,0,2025-03-20,0,0,NULL,0
194,2024-09-21,Barcelona,25-34,Phone,36,194,2024-09-21,27.95,cancelled,2025-01-20,1,2024-10-02,7,0,NULL,0
195,2025-12-02,Barcelona,35-44,Phone,36,195,2025-12-02,45.77,active,NULL,0,2025-12-10,4,0,NULL,0
196,2024-03-05,Andalucía,45-54,Referral,24,196,2024-03-05,34.81,active,NULL,0,2024-03-13,7,0,NULL,0
197,2024-09-07,Barcelona,45-54,Web,36,197,2024-09-07,40.94,active,NULL,0,2024-09-16,5,0,NULL,0
198,2024-03-27,Galicia,45-54,In-store,24,198,2024-03-27,27.82,cancelled,2024-06-03,1,2024-04-05,6,0,NULL,0
199,2024-09-04,Madrid,45-54,Partner,24,199,2024-09-04,33.42,cancelled,2024-10-22,1,2024-09-17,8,0,NULL,1
200,2025-12-04,Andalucía,35-44,Phone,36,200,2025-12-04,45.86,active,NULL,0,2025-12-10,2,0,NULL,0
201,2024-09-24,Madrid,35-44,In-store,36,201,2024-09-24,35.78,active,NULL,0,2024-10-20,24,0,NULL,0
202,2025-10-26,Andalucía,45-54,Referral,24,202,2025-10-26,34.16,active,NULL,0,2025-10-31,2,0,NULL,0
203,2024-12-27,Andalucía,45-54,Web,24,203,2024-12-27,28.8,active,NULL,0,2025-01-02,4,0,NULL,1
204,2025-05-26,Andalucía,45-54,Web,36,204,2025-05-26,41.82,active,NULL,0,2025-06-05,5,0,NULL,1
205,2024-11-30,Valencia,35-44,In-store,36,205,2024-11-30,44.58,active,NULL,0,2024-12-17,14,0,NULL,0
206,2024-07-13,Valencia,55+,Phone,24,206,2024-07-13,51.46,active,NULL,0,2024-07-21,3,0,NULL,0
207,2025-07-12,Madrid,25-34,Phone,36,207,2025-07-12,42.39,active,NULL,0,2025-07-28,13,0,NULL,0
208,2025-12-09,Valencia,25-34,Web,24,208,2025-12-09,32.62,active,NULL,0,2025-12-16,4,3,12.5666666666667,0
209,2024-07-11,Barcelona,25-34,In-store,24,209,2024-07-11,30.08,cancelled,2025-08-15,1,2024-07-14,2,0,NULL,0
210,2025-07-23,Andalucía,25-34,Partner,36,210,2025-07-23,34.19,cancelled,2025-10-03,1,2025-07-31,3,0,NULL,0
211,2024-07-09,Valencia,45-54,Referral,36,211,2024-07-09,41.44,active,NULL,0,2024-07-18,5,0,NULL,0
212,2025-06-08,País Vasco,25-34,Phone,24,212,2025-06-08,50.66,active,NULL,0,2025-06-16,6,0,NULL,0
213,2025-07-30,Valencia,45-54,Referral,24,213,2025-07-30,26.09,active,NULL,0,2025-08-10,6,0,NULL,0
214,2024-11-24,Barcelona,35-44,Phone,24,214,2024-11-24,35.26,active,NULL,0,2024-11-29,3,0,NULL,0
215,2025-06-22,Barcelona,25-34,Partner,36,215,2025-06-22,41.45,cancelled,2025-08-20,1,2025-06-29,6,0,NULL,0
216,2024-07-18,Madrid,25-34,Partner,24,216,2024-07-18,42.77,active,NULL,0,2024-07-26,4,0,NULL,0
217,2024-02-27,Andalucía,35-44,Phone,24,217,2024-02-27,40.73,active,NULL,0,2024-03-05,3,0,NULL,0
218,2024-03-11,Galicia,45-54,Phone,36,218,2024-03-11,35.58,active,NULL,0,2024-03-16,2,0,NULL,0
219,2024-11-22,País Vasco,35-44,Web,24,219,2024-11-22,33.81,active,NULL,0,2024-11-26,0,0,NULL,0
