ticket_id,customer_id,created_date,issue_type,resolved_flag,resolution_time_hours
90,209,2024-07-14,Sensor Issue,True,10.1
91,209,2024-07-25,Installation Follow-up,True,6.8
92,209,2024-09-06,Sensor Issue,False,41.4
93,210,2025-09-15,False Alarm,True,21.9
94,217,2024-04-03,App/Login,True,26.3
95,218,2024-04-08,Sensor Issue,True,30.8
96,221,2024-04-13,False Alarm,True,7.6
97,223,2025-07-17,Installation Follow-up,True,17.1
98,225,2025-06-16,False Alarm,True,18.1
99,232,2025-09-21,App/Login,True,29.8
100,232,2025-11-10,App/Login,True,36.2
101,232,2025-09-18,Installation Follow-up,True,5.0
102,232,2025-10-01,App/Login,True,20.3
103,233,2024-02-20,Installation Follow-up,True,24.2
104,235,2025-01-20,Sensor Issue,True,6.1
105,235,2025-02-12,False Alarm,True,24.3
106,237,2025-05-13,Connectivity,True,1.0
107,237,2025-06-06,App/Login,True,21.1
108,238,2024-12-17,False Alarm,True,3.2
109,241,2024-05-18,False Alarm,True,29.0
110,251,2024-06-21,Connectivity,False,30.7
111,257,2025-05-17,Sensor Issue,True,17.5
112,259,2024-05-18,Connectivity,True,17.7
113,259,2024-05-10,False Alarm,True,16.7
114,260,2025-03-24,App/Login,True,18.1
115,260,2025-04-02,Billing,True,17.1
116,262,2024-05-21,False Alarm,True,41.6
117,263,2024-08-09,Installation Follow-up,True,21.5
118,263,2024-09-12,False Alarm,True,24.2
119,276,2025-01-17,Billing,True,3.4
120,277,2024-12-12,False Alarm,True,23.6
121,278,2025-08-08,Installation Follow-up,False,13.0
122,279,2024-04-02,Installation Follow-up,True,24.2
123,279,2024-03-25,Installation Follow-up,True,1.0
124,283,2025-05-30,Installation Follow-up,True,8.9
125,283,2025-05-13,App/Login,True,15.8
126,283,2025-05-12,App/Login,True,10.2
127,284,2025-02-07,Billing,True,23.8
128,284,2025-01-26,Sensor Issue,True,8.0
129,290,2025-01-05,Installation Follow-up,True,18.6
130,296,2025-02-28,Sensor Issue,True,9.5
131,296,2025-02-10,Billing,True,16.3
132,296,2025-02-25,Connectivity,True,13.1
133,296,2025-02-20,Connectivity,True,16.8
134,299,2024-09-14,False Alarm,True,16.0
135,310,2024-05-03,Billing,True,21.1
136,310,2024-05-12,Sensor Issue,True,8.6
137,310,2024-05-19,Connectivity,True,31.8
138,310,2024-04-15,False Alarm,True,29.7
139,312,2025-05-17,App/Login,True,25.9
140,315,2024-06-27,Billing,True,27.7
141,316,2025-06-20,Sensor Issue,True,21.9
142,316,2025-04-27,App/Login,True,4.9
143,319,2026-01-04,Sensor Issue,True,18.7
144,325,2026-01-26,Sensor Issue,True,18.3
145,325,2026-01-08,Installation Follow-up,True,14.8
146,325,2025-12-17,Installation Follow-up,True,18.8
147,330,2025-03-19,App/Login,True,16.0
148,330,2025-02-21,Billing,True,30.7
149,330,2025-03-28,Sensor Issue,True,28.3
150,331,2025-03-04,Connectivity,True,11.3
151,331,2025-02-11,Installation Follow-up,True,22.3
152,333,2024-10-02,App/Login,True,20.5
153,338,2024-09-08,False Alarm,True,19.7
154,338,2024-09-05,Installation Follow-up,True,25.6
155,338,2024-08-29,Sensor Issue,True,12.6
156,338,2024-09-23,Installation Follow-up,True,14.3
157,342,2024-09-19,Installation Follow-up,True,12.5
158,343,2025-04-04,Sensor Issue,True,16.6
159,346,2024-09-01,Sensor Issue,True,10.7
160,347,2026-02-12,Sensor Issue,False,21.6
161,347,2025-12-25,Billing,True,18.0
162,351,2025-02-21,Sensor Issue,True,14.8
163,351,2025-02-26,Billing,True,11.1
164,354,2024-11-28,False Alarm,True,26.9
165,356,2026-01-27,Installation Follow-up,True,8.0
166,358,2025-11-11,Connectivity,True,4.5
167,359,2024-03-08,Sensor Issue,True,26.5
168,363,2024-07-30,Billing,True,21.8
169,372,2025-05-27,Installation Follow-up,True,20.5
170,376,2024-05-09,False Alarm,True,16.7
171,377,2025-07-21,False Alarm,True,18.4
172,377,2025-08-16,False Alarm,True,19.0
173,378,2025-07-22,App/Login,True,10.8
174,378,2025-07-05,Connectivity,True,24.6
175,379,2024-11-09,Connectivity,True,12.1
176,379,2024-11-02,Sensor Issue,True,20.3
177,385,2024-01-28,Sensor Issue,True,3.6
178,385,2024-01-28,False Alarm,True,11.5
179,385,2024-03-20,Installation Follow-up,True,21.7
180,387,2024-03-12,Connectivity,True,14.1
181,391,2025-08-20,Sensor Issue,True,23.7
182,393,2024-10-14,App/Login,True,28.0
183,393,2024-09-30,App/Login,True,17.2
184,396,2025-10-20,App/Login,True,24.6
185,396,2025-11-01,Connectivity,True,17.5
186,396,2025-11-19,Billing,True,30.9
187,396,2025-10-26,Billing,True,21.2
188,402,2025-08-19,Installation Follow-up,True,24.3
189,411,2024-06-07,False Alarm,True,20.2
190,411,2024-05-20,Installation Follow-up,False,18.9
191,413,2024-09-08,False Alarm,True,14.4
192,413,2024-07-25,App/Login,True,8.1
193,413,2024-09-13,Installation Follow-up,True,35.9
194,413,2024-08-01,False Alarm,True,28.3
195,415,2024-01-22,App/Login,True,15.6
196,415,2024-02-08,Installation Follow-up,True,8.9
197,415,2024-03-09,Connectivity,True,5.1
198,415,2024-02-17,Billing,True,29.8
199,423,2025-09-03,Installation Follow-up,True,41.8
200,423,2025-08-05,Installation Follow-up,True,3.8
201,423,2025-08-22,Installation Follow-up,True,7.7
202,427,2025-10-16,Connectivity,True,19.0
203,430,2025-06-12,Sensor Issue,True,19.1
204,430,2025-06-06,Installation Follow-up,True,24.3
205,430,2025-07-09,App/Login,True,10.8
206,432,2025-08-02,False Alarm,True,2.2
207,432,2025-08-06,Installation Follow-up,False,19.7
208,432,2025-07-04,Installation Follow-up,True,20.4
209,432,2025-08-02,False Alarm,True,11.9
210,446,2025-06-20,Installation Follow-up,True,32.6
211,450,2024-08-11,App/Login,True,18.6
212,453,2025-01-07,Sensor Issue,True,16.7
213,461,2025-06-26,Billing,True,10.0
214,461,2025-07-04,Installation Follow-up,True,1.0
215,464,2024-11-30,App/Login,True,1.0
216,469,2024-05-12,Sensor Issue,True,12.0
217,471,2025-08-08,Connectivity,True,30.6
218,477,2025-09-29,Connectivity,True,24.9
219,479,2025-06-16,Connectivity,True,14.6
220,482,2025-09-04,Connectivity,True,30.6
221,482,2025-10-28,Sensor Issue,True,14.7
222,483,2024-08-14,Connectivity,True,20.6
223,487,2024-09-26,App/Login,True,16.7
224,489,2025-08-19,Connectivity,True,11.3
225,489,2025-07-23,Connectivity,True,16.6
226,490,2025-04-01,False Alarm,True,26.4
227,498,2024-10-26,Sensor Issue,True,10.8
228,499,2025-11-16,Installation Follow-up,True,21.0
229,500,2024-11-11,Connectivity,True,3.1
230,503,2026-01-20,Sensor Issue,True,9.8
231,504,2025-11-05,Connectivity,True,11.8
232,508,2024-08-08,Sensor Issue,True,3.7
233,511,2026-02-10,False Alarm,True,5.7
234,511,2026-01-07,Installation Follow-up,True,5.7
235,511,2026-02-13,False Alarm,True,15.4
236,519,2025-01-23,Connectivity,True,25.4
237,519,2024-12-14,App/Login,True,21.5
238,523,2024-06-14,App/Login,True,2.8
239,527,2025-11-13,False Alarm,True,17.7
240,531,2025-03-31,False Alarm,True,20.9
241,531,2025-05-08,Installation Follow-up,True,15.9
242,536,2024-06-19,Sensor Issue,True,30.2
243,538,2024-04-07,App/Login,True,15.7
244,542,2024-04-08,Sensor Issue,True,11.7
245,544,2024-06-24,Installation Follow-up,True,14.9
246,545,2025-09-18,Connectivity,True,11.6
247,545,2025-10-17,Installation Follow-up,True,5.3
248,549,2025-01-26,Sensor Issue,True,12.2
249,549,2025-02-13,Sensor Issue,True,1.0
250,549,2025-01-14,Sensor Issue,True,14.1
251,554,2024-10-02,Installation Follow-up,True,27.1
252,555,2026-02-16,App/Login,True,8.9
253,557,2025-06-27,App/Login,False,26.2
254,557,2025-08-02,Sensor Issue,True,2.4
255,572,2024-11-09,False Alarm,True,13.9
256,578,2025-02-25,Billing,False,26.8
257,581,2024-05-08,False Alarm,True,23.2
258,581,2024-04-03,Sensor Issue,True,8.0
259,582,2025-09-07,App/Login,True,20.2
260,584,2024-02-24,Sensor Issue,True,30.8
261,584,2024-02-24,Connectivity,True,27.0
262,588,2024-03-18,False Alarm,False,26.6
263,592,2025-12-01,App/Login,True,15.3
264,592,2025-12-08,Connectivity,True,6.3
265,593,2024-07-18,Billing,True,2.5
266,593,2024-08-09,False Alarm,True,16.7
267,593,2024-08-23,Billing,True,21.3
268,593,2024-07-01,App/Login,True,30.8
269,599,2025-04-05,Connectivity,True,17.6
270,599,2025-04-18,Connectivity,True,24.1
271,600,2025-05-13,Installation Follow-up,True,12.2
272,604,2024-05-27,Installation Follow-up,True,10.9
273,610,2025-11-03,App/Login,True,16.1
274,610,2025-10-20,Installation Follow-up,True,15.8
275,615,2025-06-04,Connectivity,True,12.5
276,615,2025-05-29,App/Login,True,28.8
277,616,2025-04-16,Connectivity,True,43.1
278,618,2024-08-22,Installation Follow-up,True,34.2
279,618,2024-08-29,False Alarm,True,16.1
280,620,2024-04-22,Sensor Issue,True,15.2
281,622,2025-01-07,False Alarm,True,30.8
282,622,2025-01-18,Sensor Issue,True,23.8
283,623,2024-06-08,Installation Follow-up,True,23.8
284,623,2024-05-05,App/Login,True,5.2
285,626,2024-07-14,False Alarm,True,19.4
286,626,2024-08-09,Installation Follow-up,True,15.3
287,631,2025-06-27,App/Login,False,3.1
288,637,2024-07-14,False Alarm,False,15.8
289,637,2024-07-02,App/Login,True,19.1
290,637,2024-07-11,App/Login,True,23.8
291,637,2024-07-16,App/Login,True,20.8
292,641,2025-05-31,False Alarm,True,15.2
293,641,2025-05-11,App/Login,True,16.1
294,641,2025-05-26,App/Login,True,19.3
295,648,2025-03-17,Installation Follow-up,True,8.6
296,651,2025-01-28,Installation Follow-up,True,32.8
297,652,2025-06-07,Sensor Issue,True,15.0
298,652,2025-06-19,App/Login,True,7.5
299,659,2024-03-08,Sensor Issue,True,12.5
300,659,2024-03-30,Connectivity,True,1.0
301,660,2024-08-29,Sensor Issue,True,23.2
302,663,2024-02-03,Sensor Issue,True,18.6
303,663,2024-03-15,App/Login,True,12.0
304,664,2024-06-18,Connectivity,False,17.8
305,664,2024-06-28,Installation Follow-up,False,13.4
306,666,2025-06-13,False Alarm,True,17.3
307,672,2025-04-08,App/Login,True,12.5
308,682,2024-04-13,Sensor Issue,True,8.1
309,682,2024-05-25,False Alarm,True,11.5
310,682,2024-06-04,Connectivity,True,17.1
311,684,2025-12-30,Sensor Issue,True,16.0
312,684,2026-01-25,Sensor Issue,True,7.4
313,684,2025-12-22,Installation Follow-up,True,25.9
314,687,2024-12-02,Sensor Issue,True,9.2
315,687,2024-12-21,Sensor Issue,True,27.1
316,687,2024-11-23,Sensor Issue,True,15.6
317,687,2024-11-10,Sensor Issue,True,21.9
318,691,2025-12-31,Billing,True,21.0
319,691,2026-01-19,Sensor Issue,True,24.1
320,691,2026-01-18,Billing,False,35.0
321,695,2024-03-29,False Alarm,True,15.9
322,695,2024-04-24,Billing,True,11.7
323,695,2024-03-15,Installation Follow-up,True,19.8
324,695,2024-04-12,App/Login,True,34.0
325,697,2025-07-24,Sensor Issue,False,1.0
326,697,2025-06-14,Sensor Issue,True,11.1
327,697,2025-07-02,Connectivity,False,16.2
328,698,2025-04-19,Sensor Issue,True,24.8
329,705,2024-04-09,Sensor Issue,True,18.5
330,712,2025-01-30,Connectivity,True,22.0
331,718,2025-01-30,False Alarm,True,16.4
332,721,2024-04-28,Connectivity,True,27.0
333,721,2024-05-19,App/Login,True,33.8
334,721,2024-04-14,Connectivity,True,14.3
335,721,2024-06-05,Sensor Issue,True,27.4
336,723,2025-10-31,False Alarm,True,23.2
337,723,2025-10-29,Sensor Issue,True,20.4
338,723,2025-10-05,False Alarm,True,31.1
339,726,2024-04-02,Installation Follow-up,True,25.2
340,728,2024-03-20,Connectivity,True,22.6
341,733,2025-12-28,False Alarm,True,27.0
342,733,2025-12-18,False Alarm,True,16.1
343,733,2025-12-08,Sensor Issue,True,23.8
344,735,2024-07-15,Installation Follow-up,True,15.4
345,735,2024-06-24,Installation Follow-up,True,15.7
346,735,2024-06-04,Billing,True,35.3
347,737,2025-07-08,Installation Follow-up,True,24.7
348,737,2025-07-09,Connectivity,True,29.8
349,740,2025-11-25,Sensor Issue,True,15.4
350,740,2025-11-21,Installation Follow-up,True,21.4
351,743,2025-05-05,Installation Follow-up,True,36.1
352,745,2025-08-21,Sensor Issue,True,27.7
353,746,2024-09-23,False Alarm,True,14.7
354,749,2024-09-28,Installation Follow-up,True,23.3
355,749,2024-10-04,False Alarm,False,26.2
356,753,2024-04-27,Installation Follow-up,True,21.0
357,756,2025-01-07,False Alarm,True,20.3
358,756,2025-01-15,Connectivity,True,22.1
359,759,2024-05-03,Sensor Issue,True,18.0
360,767,2025-05-06,False Alarm,True,14.0
361,770,2024-10-29,Sensor Issue,True,33.8
362,770,2024-11-23,Installation Follow-up,True,13.2
363,776,2025-12-08,Sensor Issue,True,12.5
364,777,2024-12-06,False Alarm,False,18.4
365,779,2024-08-13,Billing,True,24.9
366,780,2025-11-12,Connectivity,True,16.1
367,784,2024-04-04,Installation Follow-up,True,21.8
368,784,2024-04-30,Connectivity,True,10.6
369,787,2024-03-17,False Alarm,True,38.9
370,787,2024-02-11,False Alarm,True,29.1
371,788,2025-05-27,Installation Follow-up,True,24.0
372,789,2025-03-13,Installation Follow-up,True,11.4
373,791,2024-04-12,Sensor Issue,True,16.1
374,797,2025-12-16,App/Login,True,37.5
375,798,2025-01-15,Billing,False,32.3
376,798,2025-01-18,App/Login,True,18.2
377,805,2025-08-08,Sensor Issue,True,4.5
378,805,2025-07-05,Installation Follow-up,True,4.8
379,806,2025-08-31,False Alarm,True,12.5
380,807,2025-02-24,App/Login,True,7.3
381,807,2025-02-23,False Alarm,True,26.1
382,807,2025-03-04,Installation Follow-up,True,20.6
383,809,2024-11-25,Sensor Issue,True,20.5
384,809,2024-11-21,Sensor Issue,True,32.7
385,812,2025-12-01,Billing,True,24.6
386,812,2025-11-03,Connectivity,True,11.7
387,812,2025-11-25,Sensor Issue,True,20.4
388,812,2025-10-13,Sensor Issue,True,27.2
389,819,2025-05-08,Connectivity,True,10.4
390,820,2026-02-06,App/Login,True,29.7
391,824,2025-04-25,False Alarm,True,11.1
392,833,2024-12-24,False Alarm,True,6.2
393,833,2024-12-12,False Alarm,True,10.5
394,833,2024-12-28,Sensor Issue,True,25.2
395,833,2024-12-25,Billing,True,28.0
396,838,2024-07-02,Sensor Issue,False,7.8
397,838,2024-07-16,False Alarm,False,29.0
398,838,2024-06-22,Sensor Issue,True,18.0
399,839,2024-03-02,Sensor Issue,True,12.3
400,846,2024-01-04,Installation Follow-up,True,19.3
401,851,2026-01-10,Installation Follow-up,True,22.3
402,852,2025-09-20,Sensor Issue,True,13.1
403,854,2024-07-20,App/Login,True,36.6
404,854,2024-07-23,Connectivity,True,17.6
405,854,2024-07-02,Connectivity,True,13.0
406,858,2024-03-16,False Alarm,True,20.3
407,858,2024-04-01,Sensor Issue,True,21.8
408,861,2026-02-01,Sensor Issue,True,4.2
409,861,2026-01-28,Sensor Issue,True,16.8
410,861,2025-12-16,Sensor Issue,True,11.8
411,861,2026-01-09,Billing,False,18.9
412,863,2024-05-14,Installation Follow-up,True,29.6
413,864,2025-08-16,Sensor Issue,True,15.1
414,864,2025-08-25,Connectivity,False,11.1
415,866,2025-06-19,Installation Follow-up,True,25.9
416,866,2025-06-30,Installation Follow-up,False,24.4
417,866,2025-07-07,Installation Follow-up,False,20.2
418,866,2025-06-22,Installation Follow-up,True,33.9
419,867,2025-10-17,Installation Follow-up,True,4.0
420,877,2025-02-05,Installation Follow-up,False,19.9
421,878,2025-08-02,Sensor Issue,True,8.0
422,879,2025-03-03,Installation Follow-up,True,17.5
423,879,2025-03-22,Billing,True,20.6
424,880,2025-04-17,Sensor Issue,True,22.2
425,880,2025-05-11,Sensor Issue,True,23.8
426,884,2024-05-26,Installation Follow-up,True,27.3
427,890,2024-07-28,Sensor Issue,True,5.8
428,894,2026-01-31,Sensor Issue,True,1.0
429,898,2024-02-29,False Alarm,True,18.8
430,898,2024-02-18,Billing,True,8.1
431,901,2024-01-18,Installation Follow-up,True,16.0
432,902,2024-03-24,False Alarm,True,3.0
433,905,2024-12-30,False Alarm,False,16.5
434,911,2025-07-28,Billing,True,11.8
435,913,2024-11-27,Sensor Issue,True,27.4
436,913,2024-10-24,Sensor Issue,True,14.9
437,914,2026-02-11,App/Login,True,1.0
438,914,2026-02-03,Connectivity,True,33.4
439,920,2025-05-26,Sensor Issue,True,11.3
440,922,2025-03-20,False Alarm,True,14.2
441,922,2025-03-13,Sensor Issue,True,10.7
442,922,2025-04-19,False Alarm,True,26.1
443,922,2025-04-03,Sensor Issue,True,3.6
444,924,2024-06-06,Installation Follow-up,True,30.9
445,924,2024-05-26,App/Login,True,7.3
446,927,2025-02-01,Billing,True,26.9
447,928,2024-10-04,False Alarm,True,7.6
448,938,2024-05-21,Sensor Issue,False,9.6
449,943,2025-11-19,Installation Follow-up,True,3.0
450,944,2025-01-10,App/Login,True,24.4
451,947,2026-01-29,App/Login,True,21.3
452,948,2024-04-29,Connectivity,True,3.2
453,948,2024-05-09,Sensor Issue,True,8.3
454,948,2024-04-17,Installation Follow-up,True,12.9
455,954,2024-11-30,App/Login,True,22.8
456,960,2024-11-29,Connectivity,True,17.9
457,960,2024-11-13,False Alarm,True,28.4
458,971,2024-08-30,Installation Follow-up,True,9.6
459,971,2024-08-15,Installation Follow-up,True,7.7
460,971,2024-09-10,Sensor Issue,True,26.0
461,971,2024-09-04,App/Login,True,30.3
462,972,2024-11-17,Installation Follow-up,True,19.1
463,972,2024-12-29,App/Login,True,20.2
464,977,2024-04-15,Sensor Issue,True,19.2
465,977,2024-04-12,App/Login,True,25.8
466,993,2024-06-15,App/Login,True,13.3
467,997,2025-03-08,App/Login,True,4.6
468,997,2025-02-04,App/Login,True,24.6
469,997,2025-01-20,Sensor Issue,True,16.1
470,1002,2025-06-25,Installation Follow-up,True,10.6
471,1003,2025-03-17,App/Login,True,30.2
472,1003,2025-02-14,Sensor Issue,True,10.6
473,1004,2025-11-14,False Alarm,True,12.1
474,1005,2024-04-05,App/Login,True,15.7
475,1005,2024-05-17,Installation Follow-up,True,12.8
476,1009,2025-07-28,Billing,True,15.8
477,1010,2025-02-10,Billing,True,43.0
478,1010,2025-02-15,Billing,True,16.3
479,1010,2025-03-14,Sensor Issue,True,1.8
480,1014,2024-08-18,Billing,True,13.1
481,1014,2024-09-23,Connectivity,True,21.8
482,1014,2024-09-15,App/Login,True,7.6
483,1016,2025-10-22,Connectivity,True,11.0
484,1019,2024-03-20,False Alarm,True,16.5
485,1024,2025-09-26,App/Login,True,2.8
486,1035,2024-03-29,Billing,True,26.7
487,1035,2024-02-27,Installation Follow-up,True,8.6
488,1037,2025-12-03,App/Login,True,28.6
489,1037,2025-11-08,Connectivity,True,15.2
490,1037,2025-11-22,Billing,True,17.4
491,1037,2025-11-08,Connectivity,True,18.2
492,1055,2024-04-15,Installation Follow-up,True,1.6
493,1059,2024-12-19,Installation Follow-up,True,15.0
494,1059,2024-12-14,App/Login,True,7.7
495,1061,2025-09-05,Sensor Issue,True,25.7
496,1061,2025-08-20,Sensor Issue,True,16.3
497,1065,2025-07-25,Sensor Issue,True,17.2
498,1065,2025-08-19,False Alarm,True,19.0
499,1065,2025-07-16,Billing,True,28.6
500,1068,2025-04-16,Sensor Issue,True,2.4
501,1068,2025-05-14,Sensor Issue,False,5.5
502,1068,2025-05-11,App/Login,True,35.1
503,1068,2025-05-22,Sensor Issue,True,38.7
504,1076,2024-05-03,Installation Follow-up,True,17.9
505,1076,2024-05-04,Sensor Issue,True,25.5
506,1079,2024-11-27,Installation Follow-up,True,29.7
507,1079,2024-11-30,Sensor Issue,True,7.7
508,1079,2024-12-20,False Alarm,True,3.4
509,1080,2025-10-21,Installation Follow-up,True,11.2
510,1081,2025-11-12,Billing,True,20.7
511,1081,2025-11-22,Installation Follow-up,True,1.0
512,1083,2025-12-26,Connectivity,True,15.7
513,1083,2026-01-22,Connectivity,True,23.1
514,1083,2025-12-07,Billing,True,13.6
515,1084,2025-04-09,Installation Follow-up,True,18.4
516,1084,2025-03-10,False Alarm,True,14.3
517,1086,2025-10-31,Billing,True,13.7
518,1087,2025-09-02,Connectivity,True,12.2
519,1094,2024-10-27,Sensor Issue,True,15.1
520,1099,2024-03-18,Installation Follow-up,True,26.2
521,1099,2024-02-08,False Alarm,True,17.7
522,1100,2025-01-11,Connectivity,True,28.4
523,1100,2024-12-05,False Alarm,True,11.6
524,1102,2025-01-31,Sensor Issue,True,13.8
525,1103,2025-12-08,Sensor Issue,True,27.3
526,1110,2024-02-08,Connectivity,True,16.8
527,1110,2024-02-13,Connectivity,True,43.8
528,1113,2024-05-31,Billing,True,29.0
529,1115,2024-06-19,Sensor Issue,True,4.0
530,1120,2025-02-03,Installation Follow-up,True,6.6
531,1122,2024-04-23,Installation Follow-up,True,5.7
532,1123,2024-08-03,Installation Follow-up,True,8.4
533,1123,2024-08-14,Connectivity,True,16.6
534,1123,2024-07-22,Connectivity,True,7.1
535,1127,2025-09-30,Sensor Issue,True,16.0
536,1131,2024-12-06,App/Login,True,34.6
537,1131,2024-11-27,Installation Follow-up,True,26.0
538,1131,2024-12-22,Installation Follow-up,True,15.8
539,1132,2025-05-22,Sensor Issue,True,23.7
540,1134,2025-08-12,False Alarm,True,37.6
541,1139,2025-07-08,Installation Follow-up,True,32.4
542,1139,2025-07-30,Sensor Issue,True,20.1
543,1140,2025-03-09,Connectivity,False,8.1
544,1141,2025-10-23,Installation Follow-up,False,13.5
545,1142,2024-09-08,Sensor Issue,True,1.0
546,1143,2025-12-13,False Alarm,True,7.4
547,1144,2025-09-27,App/Login,True,15.3
548,1145,2024-10-11,Sensor Issue,True,24.0
549,1146,2025-02-07,Installation Follow-up,True,18.2
550,1154,2025-11-11,Installation Follow-up,True,33.7
551,1156,2025-03-27,Installation Follow-up,True,19.2
552,1159,2024-10-10,False Alarm,True,46.5
553,1161,2025-03-20,Installation Follow-up,True,34.8
554,1165,2025-01-12,Connectivity,True,28.9
555,1165,2025-02-28,Sensor Issue,True,32.0
556,1167,2024-03-07,Installation Follow-up,True,18.4
557,1167,2024-03-13,False Alarm,True,28.0
558,1167,2024-03-17,Installation Follow-up,True,5.7
559,1170,2025-12-25,False Alarm,True,7.9
560,1170,2025-12-09,False Alarm,True,22.6
561,1170,2025-12-22,Billing,False,13.4
562,1181,2025-04-25,Sensor Issue,True,12.2
563,1181,2025-04-11,Installation Follow-up,True,28.9
564,1181,2025-04-26,Sensor Issue,False,28.9
565,1185,2024-12-27,False Alarm,False,2.6
566,1185,2024-12-27,Sensor Issue,True,28.0
567,1186,2024-09-10,Installation Follow-up,True,21.0
568,1186,2024-10-09,Billing,True,2.2
569,1186,2024-09-12,Sensor Issue,True,24.7
570,1188,2025-03-29,Billing,True,8.5
571,1188,2025-04-12,Connectivity,False,42.1
572,1188,2025-03-30,Connectivity,True,3.8
573,1189,2025-03-25,Installation Follow-up,True,31.1
574,1189,2025-02-21,Installation Follow-up,True,11.4
575,1192,2024-07-26,Sensor Issue,True,19.3
576,1194,2025-06-22,Installation Follow-up,True,9.2
577,1208,2025-06-23,Sensor Issue,True,4.0
578,1208,2025-06-11,Sensor Issue,True,10.9
579,1208,2025-06-13,App/Login,True,28.1
580,1209,2024-08-06,Installation Follow-up,True,48.1
