customer_id,signup_date,region,age_group,acquisition_channel,contract_length_months
127,2024-02-27,Canarias,35-44,Phone,24
128,2025-07-13,Galicia,25-34,In-store,24
129,2025-02-24,Madrid,25-34,Referral,24
130,2025-04-08,Galicia,45-54,In-store,24
131,2025-02-17,Valencia,25-34,Phone,24
132,2025-02-08,Andalucía,45-54,In-store,24
133,2024-03-07,Galicia,55+,Web,36
134,2025-02-12,Andalucía,35-44,Referral,36
135,2025-08-04,Madrid,25-34,Referral,24
136,2024-08-10,Madrid,45-54,Partner,24
137,2025-03-16,Valencia,18-24,Web,24
138,2024-01-23,Canarias,45-54,Web,24
139,2024-09-11,Andalucía,35-44,Referral,36
140,2024-11-15,Barcelona,35-44,In-store,24
141,2025-12-19,Madrid,35-44,In-store,36
142,2024-06-05,Galicia,35-44,Referral,36
143,2024-07-21,Barcelona,25-34,Phone,24
144,2024-10-25,Andalucía,25-34,In-store,36
145,2025-12-26,Andalucía,35-44,Web,24
146,2025-09-15,Barcelona,55+,Web,36
147,2024-01-26,Madrid,25-34,Phone,36
148,2024-06-20,Barcelona,25-34,Web,36
149,2025-08-23,Barcelona,25-34,Phone,36
150,2024-02-12,Andalucía,35-44,In-store,36
151,2025-09-17,País Vasco,25-34,Web,36
152,2024-07-24,Barcelona,45-54,Partner,24
153,2025-11-01,Andalucía,25-34,Web,36
154,2024-08-02,Madrid,45-54,In-store,36
155,2024-11-13,Barcelona,25-34,Web,24
156,2025-04-28,País Vasco,35-44,Partner,36
157,2024-04-02,País Vasco,25-34,Phone,24
158,2025-02-11,País Vasco,45-54,Phone,24
159,2025-01-04,Madrid,55+,Web,24
160,2025-07-27,Andalucía,25-34,Web,24
161,2025-12-29,Valencia,55+,Web,36
162,2025-04-30,Canarias,25-34,Web,24
163,2024-10-26,Andalucía,35-44,Web,24
164,2024-10-24,Canarias,45-54,Partner,24
165,2024-11-01,Madrid,25-34,Web,24
166,2025-08-18,Valencia,35-44,Web,36
167,2024-08-22,País Vasco,18-24,Web,36
168,2024-05-02,Barcelona,45-54,Phone,24
169,2024-09-01,Andalucía,35-44,Phone,24
170,2024-01-17,Valencia,55+,Partner,24
171,2024-03-18,Canarias,25-34,Phone,24
172,2024-03-06,Madrid,55+,Phone,24
173,2025-07-18,Canarias,25-34,Phone,24
174,2025-06-12,Valencia,35-44,Web,24
175,2025-05-24,Valencia,25-34,Partner,24
176,2024-12-03,Andalucía,25-34,Web,24
177,2025-06-08,Barcelona,25-34,In-store,24
178,2024-04-27,Canarias,45-54,Phone,36
179,2025-10-20,Galicia,25-34,Partner,36
180,2025-01-01,Canarias,35-44,Phone,24
181,2025-11-16,Canarias,55+,Referral,36
182,2024-04-21,Andalucía,25-34,Phone,36
183,2024-12-29,Valencia,18-24,Phone,24
184,2025-05-24,Galicia,25-34,In-store,24
185,2024-12-28,Madrid,25-34,Partner,24
186,2024-11-22,Galicia,35-44,Phone,36
187,2024-05-01,Valencia,45-54,Web,24
188,2024-10-05,Andalucía,25-34,Web,36
189,2024-06-23,Barcelona,25-34,In-store,24
190,2024-08-08,Barcelona,45-54,Web,24
191,2025-05-14,Madrid,25-34,Web,36
192,2025-04-05,Valencia,35-44,Web,24
193,2025-03-19,Valencia,55+,Referral,36
194,2024-09-21,Barcelona,25-34,Phone,36
195,2025-12-02,Barcelona,35-44,Phone,36
196,2024-03-05,Andalucía,45-54,Referral,24
197,2024-09-07,Barcelona,45-54,Web,36
198,2024-03-27,Galicia,45-54,In-store,24
199,2024-09-04,Madrid,45-54,Partner,24
200,2025-12-04,Andalucía,35-44,Phone,36
201,2024-09-24,Madrid,35-44,In-store,36
202,2025-10-26,Andalucía,45-54,Referral,24
203,2024-12-27,Andalucía,45-54,Web,24
204,2025-05-26,Andalucía,45-54,Web,36
205,2024-11-30,Valencia,35-44,In-store,36
206,2024-07-13,Valencia,55+,Phone,24
207,2025-07-12,Madrid,25-34,Phone,36
208,2025-12-09,Valencia,25-34,Web,24
209,2024-07-11,Barcelona,25-34,In-store,24
210,2025-07-23,Andalucía,25-34,Partner,36
211,2024-07-09,Valencia,45-54,Referral,36
212,2025-06-08,País Vasco,25-34,Phone,24
213,2025-07-30,Valencia,45-54,Referral,24
214,2024-11-24,Barcelona,35-44,Phone,24
215,2025-06-22,Barcelona,25-34,Partner,36
216,2024-07-18,Madrid,25-34,Partner,24
217,2024-02-27,Andalucía,35-44,Phone,24
218,2024-03-11,Galicia,45-54,Phone,36
219,2024-11-22,País Vasco,35-44,Web,24
220,2025-10-21,Valencia,25-34,Web,24
221,2024-04-03,Madrid,25-34,Partner,24
222,2024-11-29,Galicia,25-34,Web,36
223,2025-05-29,Madrid,18-24,Partner,24
224,2024-05-27,Barcelona,55+,Web,24
225,2025-06-11,Galicia,25-34,Web,24
226,2024-08-11,Barcelona,25-34,Partner,36
227,2025-08-14,Madrid,55+,Web,36
228,2025-02-27,Barcelona,45-54,Referral,24
229,2025-02-03,Andalucía,35-44,Referral,24
230,2024-05-09,Madrid,45-54,Phone,36
231,2024-12-04,Andalucía,55+,Phone,24
232,2025-09-18,Valencia,25-34,Web,24
233,2024-01-15,Barcelona,25-34,In-store,24
234,2025-07-08,Barcelona,55+,Web,24
235,2024-12-26,Galicia,45-54,Referral,24
236,2025-06-09,Barcelona,55+,Referral,24
237,2025-04-29,País Vasco,25-34,Web,24
238,2024-11-11,Valencia,55+,Partner,24
239,2024-08-13,Madrid,25-34,Phone,36
240,2025-04-03,Valencia,45-54,Phone,24
241,2024-04-12,Valencia,55+,Web,24
242,2025-03-02,Valencia,25-34,Partner,36
243,2024-03-10,País Vasco,25-34,Web,24
244,2025-04-20,Galicia,35-44,In-store,36
245,2025-04-04,País Vasco,55+,Phone,24
246,2024-03-02,Andalucía,18-24,Partner,36
247,2025-07-07,Andalucía,55+,Referral,24
248,2024-10-30,Andalucía,25-34,Partner,24
249,2025-07-29,Barcelona,35-44,Phone,24
250,2024-01-31,País Vasco,25-34,Phone,24
251,2024-05-11,Galicia,55+,Phone,24
252,2024-12-27,Barcelona,25-34,Web,36
253,2024-05-17,Galicia,35-44,Referral,36
254,2024-08-29,Galicia,25-34,Web,24
255,2025-04-27,Valencia,55+,Phone,36
256,2024-04-15,Galicia,45-54,In-store,36
257,2025-05-10,Madrid,25-34,Web,36
258,2024-03-16,Madrid,25-34,In-store,36
259,2024-05-08,Barcelona,35-44,Web,36
260,2025-03-05,Andalucía,35-44,Web,24
261,2025-08-03,Barcelona,45-54,Partner,36
262,2024-05-04,Canarias,35-44,Phone,36
263,2024-08-07,Barcelona,35-44,Referral,24
264,2025-11-07,Barcelona,45-54,Phone,24
265,2025-12-24,Andalucía,35-44,Web,24
266,2025-02-28,Madrid,25-34,Web,36
267,2024-11-22,País Vasco,25-34,Phone,24
268,2024-09-10,Barcelona,25-34,Phone,36
269,2025-03-23,Canarias,35-44,Web,36
270,2025-03-07,Andalucía,25-34,Phone,36
271,2024-08-03,Madrid,35-44,Referral,24
272,2024-01-17,Madrid,25-34,Phone,36
273,2024-04-20,Madrid,45-54,Partner,36
274,2025-12-01,Canarias,18-24,Web,24
275,2024-11-01,Andalucía,35-44,In-store,36
276,2024-12-18,Valencia,18-24,Web,24
277,2024-12-07,Madrid,25-34,Phone,36
278,2025-07-26,Galicia,18-24,Web,24
279,2024-02-17,Madrid,35-44,Web,24
280,2024-03-01,Andalucía,45-54,Web,24
281,2024-07-20,País Vasco,25-34,Web,24
282,2024-12-21,Barcelona,45-54,In-store,24
283,2025-05-05,Valencia,35-44,Web,36
284,2024-12-24,Barcelona,35-44,Referral,24
285,2024-11-18,Barcelona,35-44,Phone,24
286,2025-11-16,Canarias,25-34,Web,36
287,2024-04-27,Andalucía,45-54,Phone,36
288,2025-02-21,Galicia,45-54,Web,24
289,2025-01-31,Andalucía,45-54,In-store,36
290,2024-12-12,Barcelona,25-34,Web,24
291,2025-08-13,Andalucía,45-54,In-store,36
292,2024-07-14,Valencia,25-34,Web,24
293,2025-11-28,Madrid,35-44,Web,36
294,2024-08-30,Valencia,18-24,Web,36
295,2025-02-02,Andalucía,25-34,Partner,36
296,2025-01-15,País Vasco,45-54,Phone,24
297,2025-09-13,Barcelona,55+,Referral,36
298,2024-11-16,Galicia,18-24,Web,24
299,2024-07-27,Barcelona,35-44,Web,36
300,2024-01-16,Barcelona,45-54,In-store,36
301,2024-09-22,Madrid,55+,Phone,36
302,2025-08-27,País Vasco,45-54,In-store,24
303,2024-01-08,Barcelona,25-34,Phone,24
304,2025-10-17,Valencia,25-34,Partner,24
305,2025-01-31,Barcelona,45-54,Web,24
306,2024-04-12,Andalucía,25-34,Referral,24
307,2024-08-08,País Vasco,55+,Web,24
308,2025-02-09,Barcelona,55+,In-store,36
309,2024-08-18,Canarias,55+,Web,24
310,2024-03-20,Madrid,25-34,In-store,24
311,2025-05-01,Madrid,45-54,In-store,24
312,2025-05-06,Andalucía,45-54,In-store,36
313,2024-03-27,Andalucía,18-24,Phone,36
314,2024-07-24,Barcelona,25-34,Phone,24
315,2024-06-27,Andalucía,25-34,In-store,24
316,2025-04-27,Barcelona,35-44,Phone,24
317,2025-06-17,Andalucía,55+,Partner,24
318,2025-06-15,Andalucía,55+,Web,24
319,2025-11-17,Canarias,25-34,Phone,24
320,2025-07-15,Valencia,35-44,Web,36
321,2024-08-22,Andalucía,25-34,Partner,24
322,2024-03-19,Andalucía,25-34,Web,36
323,2025-03-25,Barcelona,18-24,Phone,24
324,2025-10-31,Barcelona,45-54,In-store,36
325,2025-12-13,Canarias,45-54,Phone,36
326,2024-06-17,Madrid,55+,In-store,36
327,2024-06-21,País Vasco,55+,Web,24
328,2024-01-28,Madrid,25-34,Phone,24
329,2024-04-13,País Vasco,45-54,Phone,36
330,2025-02-09,Madrid,25-34,Phone,36
331,2025-02-03,Canarias,35-44,Partner,24
332,2024-09-28,Andalucía,35-44,Web,24
333,2024-08-14,Madrid,18-24,Phone,24
334,2025-08-29,Andalucía,25-34,Web,36
335,2024-12-02,Andalucía,25-34,Partner,36
336,2025-08-13,Barcelona,25-34,In-store,36
337,2025-12-05,Barcelona,55+,Web,36
338,2024-08-19,Andalucía,25-34,Phone,24
339,2024-05-28,País Vasco,35-44,Phone,24
340,2025-11-27,Barcelona,55+,Partner,24
341,2025-04-09,Galicia,35-44,Web,36
342,2024-07-31,Barcelona,35-44,Phone,24
343,2025-03-30,Madrid,55+,In-store,24
344,2025-01-11,Andalucía,25-34,Phone,24
345,2025-10-23,Madrid,25-34,In-store,24
346,2024-07-06,Barcelona,35-44,Web,24
347,2025-12-25,Valencia,35-44,Referral,24
348,2025-11-15,Barcelona,45-54,Web,24
349,2024-05-12,Barcelona,18-24,Web,36
350,2024-04-30,Andalucía,35-44,Phone,24
351,2025-01-24,Andalucía,45-54,Phone,24
352,2024-02-02,Galicia,55+,Partner,24
353,2024-08-06,Andalucía,25-34,Web,36
354,2024-11-14,Valencia,25-34,Web,24
355,2025-12-09,Barcelona,55+,In-store,36
356,2025-12-26,País Vasco,45-54,Web,36
357,2024-04-20,Madrid,18-24,Partner,36
358,2025-10-13,Barcelona,18-24,Partner,24
359,2024-03-07,Galicia,45-54,Web,36
360,2025-07-01,País Vasco,35-44,Partner,24
361,2025-09-10,Andalucía,35-44,In-store,24
362,2025-10-13,Madrid,55+,In-store,24
363,2024-06-12,Madrid,25-34,Web,24
364,2025-10-15,Valencia,25-34,Phone,24
365,2024-03-25,País Vasco,35-44,Referral,24
366,2025-01-14,Valencia,55+,Phone,24
367,2024-12-09,Madrid,25-34,Web,24
368,2024-08-18,Madrid,45-54,Web,24
369,2024-01-17,Andalucía,25-34,Partner,36
370,2025-07-18,Andalucía,25-34,In-store,24
371,2024-09-02,Madrid,55+,Referral,36
372,2025-04-28,Madrid,25-34,Referral,24
373,2024-10-26,Barcelona,18-24,Web,24
374,2024-09-30,Madrid,45-54,Partner,24
375,2025-10-09,Andalucía,35-44,Web,24
376,2024-03-10,Madrid,35-44,Web,24
377,2025-06-22,Andalucía,45-54,Web,24
378,2025-06-29,País Vasco,25-34,Referral,24
379,2024-10-04,Canarias,45-54,Web,24
380,2024-07-10,Canarias,25-34,Phone,24
381,2024-01-04,Barcelona,25-34,Phone,24
382,2025-11-15,Madrid,45-54,Web,24
383,2025-11-23,Barcelona,25-34,Phone,24
384,2024-06-25,Andalucía,55+,Web,24
385,2024-01-24,Madrid,55+,Phone,24
386,2024-03-30,Barcelona,55+,Phone,24
387,2024-02-19,Barcelona,25-34,In-store,24
388,2025-08-30,Barcelona,25-34,Partner,36
389,2025-10-13,Andalucía,55+,In-store,24
390,2024-04-22,Andalucía,35-44,Web,24
391,2025-06-29,Andalucía,45-54,Web,24
392,2024-05-11,Galicia,55+,Phone,36
393,2024-09-25,Madrid,25-34,Referral,24
394,2025-03-14,Madrid,25-34,Web,24
395,2025-06-10,Barcelona,45-54,Web,36
396,2025-10-01,Andalucía,35-44,Referral,24
397,2024-02-02,Andalucía,25-34,Referral,36
398,2024-05-23,Madrid,35-44,Web,24
399,2024-07-24,Canarias,45-54,In-store,36
400,2024-08-14,Barcelona,25-34,Phone,24
401,2025-12-30,Barcelona,25-34,Phone,24
402,2025-07-22,Andalucía,45-54,Phone,36
403,2024-08-22,Canarias,45-54,Referral,24
404,2025-12-11,Andalucía,55+,Web,36
405,2024-12-30,Canarias,25-34,In-store,24
406,2025-01-01,Madrid,55+,Web,36
407,2024-11-13,Andalucía,45-54,Partner,36
408,2024-04-15,Galicia,45-54,Partner,24
409,2025-11-14,Valencia,25-34,In-store,36
410,2024-01-11,Barcelona,18-24,Referral,24
411,2024-05-07,Canarias,35-44,In-store,36
412,2024-06-16,Madrid,25-34,Partner,24
413,2024-07-23,Valencia,25-34,Web,24
414,2024-04-06,Galicia,55+,Referral,36
415,2024-01-14,Galicia,25-34,Phone,24
416,2025-05-10,Canarias,55+,Phone,24
417,2025-12-09,Galicia,35-44,Phone,24
418,2024-03-30,Madrid,55+,Phone,36
419,2024-08-04,Canarias,25-34,Phone,24
420,2025-01-05,Valencia,45-54,Web,36
421,2025-11-09,Andalucía,35-44,Web,36
422,2025-05-22,Barcelona,55+,Referral,24
423,2025-07-14,País Vasco,25-34,Referral,24
424,2025-02-28,Andalucía,25-34,Phone,36
425,2024-10-31,Galicia,55+,Referral,24
426,2024-05-26,Madrid,25-34,Phone,24
427,2025-09-23,Madrid,45-54,Phone,36
428,2025-08-10,Valencia,18-24,Referral,24
429,2024-01-19,Madrid,18-24,Partner,24
430,2025-06-06,Andalucía,35-44,In-store,36
431,2024-03-02,Barcelona,35-44,Phone,24
432,2025-06-24,Andalucía,35-44,Phone,24
433,2025-08-26,Madrid,35-44,Web,24
434,2024-04-05,Madrid,45-54,Referral,36
435,2024-11-13,Andalucía,55+,Web,36
436,2024-03-31,Barcelona,25-34,Phone,24
437,2025-02-18,Barcelona,25-34,Web,24
438,2025-11-09,Barcelona,25-34,Partner,24
439,2024-02-29,Barcelona,45-54,Phone,24
440,2024-10-17,Andalucía,25-34,In-store,24
441,2025-12-12,Madrid,45-54,Phone,36
442,2024-08-07,Barcelona,35-44,Web,24
443,2024-04-06,Andalucía,35-44,Web,36
444,2024-12-23,Valencia,55+,Web,24
445,2025-01-06,Andalucía,35-44,Partner,24
446,2025-04-29,Barcelona,35-44,In-store,24
447,2024-08-17,Canarias,25-34,Web,24
448,2025-11-29,Valencia,35-44,Phone,36
449,2025-01-15,Barcelona,25-34,Web,36
450,2024-07-28,Galicia,55+,In-store,36
451,2025-12-02,Andalucía,35-44,Referral,24
452,2025-11-07,Andalucía,25-34,In-store,36
453,2024-12-30,Galicia,25-34,Web,24
454,2024-01-19,Madrid,35-44,Phone,36
455,2025-03-12,Galicia,55+,Referral,24
456,2025-02-09,Andalucía,25-34,Web,24
457,2024-04-18,Barcelona,25-34,Partner,24
458,2025-04-08,Barcelona,35-44,Referral,24
459,2025-09-06,Madrid,55+,In-store,24
460,2024-03-18,Canarias,55+,Partner,36
461,2025-06-12,Madrid,25-34,Phone,36
462,2024-04-12,Barcelona,35-44,Referral,36
463,2025-07-01,Andalucía,45-54,Phone,24
464,2024-11-02,Andalucía,45-54,Referral,24
465,2024-01-05,Madrid,35-44,Phone,24
466,2025-12-07,País Vasco,45-54,In-store,24
467,2024-05-01,Valencia,35-44,Referral,24
468,2025-03-11,Galicia,25-34,Phone,24
469,2024-05-12,Madrid,18-24,Web,24
470,2025-11-13,Madrid,35-44,Web,24
471,2025-06-23,Andalucía,18-24,In-store,24
472,2025-08-10,Madrid,35-44,Partner,36
473,2024-11-11,Andalucía,55+,Web,24
474,2024-12-07,Madrid,55+,In-store,36
475,2025-04-08,País Vasco,18-24,Referral,24
476,2025-07-27,Galicia,18-24,In-store,36
477,2025-09-11,Galicia,45-54,Partner,36
478,2024-01-14,Canarias,35-44,Referral,36
479,2025-04-30,Galicia,25-34,In-store,36
480,2024-03-20,Valencia,45-54,Web,36
481,2024-07-29,Barcelona,25-34,Referral,24
482,2025-08-29,Galicia,18-24,Phone,24
483,2024-07-02,Canarias,45-54,Referral,24
484,2025-08-05,Canarias,35-44,In-store,24
485,2024-12-04,País Vasco,35-44,Partner,24
486,2024-06-19,Madrid,45-54,Web,24
487,2024-09-01,Canarias,55+,Web,24
488,2025-01-22,Canarias,18-24,Web,24
489,2025-07-13,Andalucía,45-54,Partner,24
490,2025-03-18,Galicia,25-34,In-store,24
491,2025-11-13,Andalucía,35-44,Web,36
492,2025-09-26,Canarias,35-44,Web,36
493,2025-07-04,Madrid,35-44,Partner,24
494,2025-03-16,Galicia,25-34,Web,24
495,2024-07-30,Madrid,45-54,Web,24
496,2024-10-28,Barcelona,35-44,Web,24
497,2024-03-27,Madrid,55+,Partner,36
498,2024-09-30,Valencia,25-34,Phone,24
499,2025-11-08,Barcelona,55+,In-store,36
500,2024-11-07,Canarias,35-44,Web,24
501,2024-03-24,Andalucía,35-44,Web,36
502,2025-04-21,Galicia,45-54,In-store,24
503,2025-12-04,Barcelona,45-54,Referral,24
504,2025-09-26,Madrid,35-44,Web,36
505,2024-07-19,País Vasco,35-44,In-store,24
506,2024-11-27,Andalucía,35-44,In-store,36
507,2025-01-23,Andalucía,35-44,Referral,24
508,2024-06-30,País Vasco,35-44,Phone,24
509,2024-07-15,Galicia,45-54,Web,24
510,2024-06-22,Andalucía,35-44,Web,36
511,2025-12-28,Canarias,35-44,In-store,24
512,2025-06-29,Andalucía,35-44,In-store,36
513,2025-09-06,Andalucía,55+,Phone,36
514,2025-08-19,Barcelona,25-34,Web,36
515,2025-12-02,Madrid,25-34,Web,24
516,2024-03-17,Barcelona,25-34,Phone,36
517,2025-10-06,País Vasco,45-54,Referral,36
518,2024-02-18,Andalucía,35-44,Phone,24
519,2024-12-13,Barcelona,35-44,Partner,24
520,2025-03-10,Andalucía,25-34,Phone,24
521,2024-09-18,Madrid,55+,In-store,24
522,2024-04-16,Barcelona,35-44,In-store,36
523,2024-05-20,Canarias,35-44,Web,24
524,2025-08-25,Valencia,25-34,Partner,24
525,2024-08-20,Barcelona,25-34,In-store,24
526,2024-08-14,Valencia,18-24,Referral,24
527,2025-11-05,Barcelona,35-44,Phone,24
528,2024-04-15,País Vasco,35-44,Web,36
529,2025-10-31,Canarias,25-34,Phone,24
530,2025-11-04,Andalucía,25-34,Partner,24
531,2025-03-13,Andalucía,18-24,Web,36
532,2024-05-01,Barcelona,25-34,Referral,24
533,2024-04-23,Andalucía,25-34,Web,24
534,2024-07-27,Barcelona,25-34,Referral,24
535,2025-02-26,Madrid,18-24,Phone,36
536,2024-04-22,Galicia,45-54,Web,36
537,2024-11-29,Valencia,55+,Phone,24
538,2024-03-25,Valencia,45-54,Partner,24
539,2025-01-29,Madrid,25-34,In-store,24
540,2024-01-16,Galicia,55+,Phone,36
541,2025-06-02,Madrid,55+,Web,24
542,2024-02-10,Valencia,35-44,Referral,36
543,2024-05-22,Galicia,25-34,Phone,36
544,2024-05-07,Valencia,45-54,Web,24
545,2025-08-30,Canarias,55+,In-store,36
546,2024-02-09,Madrid,45-54,Web,36
547,2024-11-09,Andalucía,45-54,Web,24
548,2025-03-08,Canarias,35-44,Phone,36
549,2025-01-12,Andalucía,55+,Partner,36
550,2025-05-12,Andalucía,18-24,Phone,24
551,2025-08-10,Barcelona,25-34,Referral,36
552,2024-10-14,País Vasco,55+,Web,24
553,2025-08-28,Galicia,25-34,Referral,36
554,2024-08-20,Andalucía,35-44,Web,36
555,2025-12-20,Canarias,25-34,Web,24
556,2025-01-03,Andalucía,25-34,Web,24
557,2025-06-22,Andalucía,18-24,Web,24
558,2025-10-01,Barcelona,35-44,Phone,24
559,2025-08-02,Andalucía,35-44,In-store,24
560,2025-09-14,Galicia,35-44,In-store,24
561,2025-01-27,Andalucía,25-34,In-store,24
562,2024-02-01,Barcelona,55+,Web,24
563,2024-12-26,Andalucía,35-44,In-store,24
564,2024-05-12,País Vasco,55+,Phone,36
565,2025-10-11,Canarias,25-34,Partner,24
566,2024-06-22,Madrid,18-24,Partner,24
567,2024-06-15,Madrid,45-54,Web,24
568,2024-07-01,Valencia,55+,Phone,24
569,2025-04-14,Madrid,18-24,Referral,36
570,2025-02-21,Canarias,45-54,Web,24
571,2025-11-24,Valencia,45-54,Partner,24
572,2024-10-31,Andalucía,25-34,Referral,36
573,2024-07-25,Barcelona,35-44,Web,36
574,2024-02-06,Valencia,25-34,Phone,36
575,2024-01-06,Canarias,18-24,Phone,36
576,2024-09-30,Valencia,55+,In-store,36
577,2025-11-07,Madrid,35-44,Phone,24
578,2025-01-17,Barcelona,45-54,Phone,24
579,2025-10-15,Canarias,45-54,Web,24
580,2024-03-15,Canarias,55+,Referral,24
